"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.223919375×10^0,1.556687206×10^-1,-1.527507186×10^0,-2.922108471×10^-1
1.233869375×10^0,3.489130139×10^-1,-1.344164252×10^0,-4.981592298×10^-1
1.243819375×10^0,7.011689544×10^-1,-7.139306068×10^-1,-5.735972524×10^-1
1.253769375×10^0,9.868563414×10^-1,-4.973064363×10^-1,-5.728414059×10^-1
1.263719375×10^0,1.218150377×10^0,-6.147245169×10^-1,-5.205650330×10^-1
1.273669375×10^0,1.398957253×10^0,-6.912059784×10^-1,-4.053084850×10^-1
1.283619250×10^0,1.454506159×10^0,-4.258720875×10^-1,-2.954552174×10^-1
1.293569250×10^0,1.435434699×10^0,-1.403508484×10^-1,-5.930472910×10^-2
1.303519250×10^0,1.300278425×10^0,2.430292964×10^-1,8.643575013×10^-2
1.313469250×10^0,1.116959214×10^0,6.156824827×10^-1,2.674497664×10^-1
1.323419250×10^0,9.011786580×10^-1,9.165139794×10^-1,3.753911257×10^-1
1.333369250×10^0,5.627971292×10^-1,1.104611754×10^0,3.949262202×10^-1
1.343319250×10^0,3.343925774×10^-1,1.251735687×10^0,3.688369989×10^-1
1.353269250×10^0,3.766987324×10^-1,1.335847974×10^0,3.338958025×10^-1
1.363219250×10^0,4.757872820×10^-1,1.137813687×10^0,3.280338347×10^-1
1.373169250×10^0,5.284438133×10^-1,9.463663697×10^-1,2.311086059×10^-1
1.383119250×10^0,4.439718425×10^-1,5.363842845×10^-1,1.297592819×10^-1
1.393069250×10^0,2.585327327×10^-1,4.009173438×10^-2,5.635910109×10^-2
1.403019250×10^0,1.722185612×10^-1,3.351402655×10^-2,8.834486827×10^-3
1.412969250×10^0,1.252374798×10^-1,2.024101019×10^-1,-1.134029031×10^-2
1.422919250×10^0,-4.523985460×10^-2,2.438326925×10^-1,-1.248887088×10^-2
1.432869250×10^0,-1.952011287×10^-1,2.823361456×10^-1,1.455255300×10^-1
1.442819250×10^0,-1.949258596×10^-1,5.412898660×10^-1,2.243405432×10^-1
1.452769250×10^0,-2.003869414×10^-1,5.948274136×10^-1,3.622717857×10^-1
1.462719250×10^0,-7.809183002×10^-2,5.833688974×10^-1,2.918884754×10^-1
1.472669250×10^0,1.148552522×10^-1,3.020797074×10^-1,1.641904563×10^-1
1.482619250×10^0,3.034544587×10^-1,-8.384267241×10^-2,-9.350672364×10^-2
1.492569250×10^0,4.449298084×10^-1,-1.092316508×10^-1,-4.108436704×10^-1
1.502519250×10^0,3.345773518×10^-1,-6.810138822×10^-1,-8.014439344×10^-1
1.512469250×10^0,1.142511293×10^-1,-1.209934354×10^0,-1.219169259×10^0
1.522419250×10^0,-5.337709785×10^-1,-2.016772509×10^0,-1.434337974×10^0
1.532369250×10^0,-1.068522334×10^0,-2.328904629×10^0,-1.534842491×10^0
1.542319250×10^0,-1.338274717×10^0,-1.992701292×10^0,-1.461993337×10^0
1.552269250×10^0,-8.183822632×10^-1,-7.156258821×10^-1,-1.182389617×10^0
1.562219250×10^0,-7.617082447×10^-2,3.882793486×10^-1,-7.963329554×10^-1
1.572169250×10^0,3.475697935×10^-1,5.985729098×10^-1,-4.659449458×10^-1
1.582119250×10^0,4.771616459×10^-1,5.599283576×10^-1,-3.020484447×10^-1
1.592069250×10^0,3.756445944×10^-1,5.405194759×10^-1,-9.066350013×10^-2
1.602019250×10^0,2.573520541×10^-1,6.936842799×10^-1,7.981742918×10^-2
1.611969250×10^0,1.967228055×10^-1,4.396275282×10^-1,3.624773324×10^-1
1.621919250×10^0,2.341548502×10^-1,3.195289075×10^-1,4.745911956×10^-1
1.631869250×10^0,3.700982928×10^-1,2.898463905×10^-1,5.030928850×10^-1
1.641819250×10^0,4.959271848×10^-1,2.908209264×10^-1,5.387652516×10^-1
1.651769250×10^0,5.325397849×10^-1,2.730453908×10^-1,6.491956115×10^-1
1.661719250×10^0,5.619360209×10^-1,3.081948161×10^-1,8.832772970×10^-1
