"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.162916583×10^0,-2.188449097×10^0,-1.567240906×10^-1,9.502689056×10^0
1.172866583×10^0,-1.899699554×10^0,-7.523355103×10^-1,8.970246277×10^0
1.182816583×10^0,-1.303938446×10^0,-7.726931763×10^-1,8.668773193×10^0
1.192766583×10^0,-6.448590088×10^-1,-5.528004456×10^-1,8.448880463×10^0
1.202716583×10^0,-5.691165161×10^-1,-4.031117249×10^-1,8.240962830×10^0
1.212666583×10^0,-3.167413330×10^-1,-3.317102051×10^-1,6.979535980×10^0
1.222616583×10^0,3.899391174×10^-1,-1.441502380×10^-1,4.088448029×10^0
1.232565583×10^0,2.179467773×10^-1,2.905458069×10^-1,4.881798248×10^0
1.242515583×10^0,4.610412598×10^-2,4.397854614×10^-1,7.285050659×10^0
1.252465583×10^0,7.089257812×10^-1,1.929487610×10^-1,8.498726807×10^0
1.262415583×10^0,1.948498077×10^0,7.933502197×10^-3,1.010324020×10^1
1.272365583×10^0,2.107018433×10^0,1.655557251×10^-1,1.182346298×10^1
1.282315583×10^0,1.799857178×10^0,1.585203552×10^-1,1.314895660×10^1
1.292265583×10^0,1.183139648×10^0,-8.637039185×10^-2,1.270483017×10^1
1.302215583×10^0,-2.325414276×10^0,-1.880090332×10^-1,1.223974731×10^1
1.312165583×10^0,-8.637039185×10^-2,-1.320254517×10^-1,1.083012863×10^1
1.322115583×10^0,2.879262543×10^0,-6.339317322×10^-1,1.065065186×10^1
1.332064583×10^0,2.190993805×10^0,-9.837542725×10^-1,1.134341125×10^1
1.342014583×10^0,1.305734711×10^0,-1.565744019×10^0,1.021221359×10^1
1.351964583×10^0,1.463356934×10^0,-1.706002350×10^0,9.144783325×10^0
1.361914583×10^0,1.995500336×10^0,-1.253792725×10^0,9.429790649×10^0
1.371864583×10^0,2.507286072×10^0,-9.524693298×10^-1,9.502090302×10^0
1.381814583×10^0,3.421135712×10^0,-8.207432556×10^-1,9.411977692×10^0
1.391764583×10^0,3.747157745×10^0,-3.974235535×10^-1,9.903705139×10^0
1.401714583×10^0,3.651806030×10^0,2.177970886×10^-1,1.045665527×10^1
1.411664583×10^0,3.646716614×10^0,5.059478760×10^-1,1.013961456×10^1
1.421614583×10^0,3.295397186×10^0,2.865042114×10^-1,9.234147491×10^0
1.431563583×10^0,2.931204529×10^0,-2.576142883×10^-1,8.366401978×10^0
1.441513583×10^0,3.648363190×10^0,-5.944139099×10^-1,8.031099243×10^0
1.451463583×10^0,4.259392548×10^0,-3.989204407×10^-1,8.618777161×10^0
1.461413583×10^0,4.496649170×10^0,1.182540894×10^-2,9.059311066×10^0
1.471363583×10^0,5.062173157×10^0,3.600013733×10^-1,8.881331177×10^0
1.481313583×10^0,5.265749817×10^0,6.879693604×10^-1,8.696914673×10^0
1.491263583×10^0,5.566624146×10^0,1.190175018×10^0,8.732690277×10^0
1.501213583×10^0,6.246510315×10^0,1.486408997×10^0,8.537496185×10^0
1.511163583×10^0,6.884483643×10^0,1.482068024×10^0,8.363707581×10^0
1.521113583×10^0,7.090155945×10^0,1.396446075×10^0,8.305778046×10^0
1.531062583×10^0,6.906637573×10^0,1.313967590×10^0,8.429420929×10^0
1.541012583×10^0,6.556665344×10^0,1.258283386×10^0,8.360264740×10^0
1.550962583×10^0,6.247109070×10^0,1.380429382×10^0,7.876919861×10^0
1.560912583×10^0,6.136189728×10^0,1.857337646×10^0,7.302115173×10^0
1.570862583×10^0,5.755830688×10^0,2.512974243×10^0,7.053033142×10^0
1.580812583×10^0,5.600902863×10^0,3.078198853×10^0,6.923402710×10^0
1.590762583×10^0,5.843248901×10^0,3.378773804×10^0,6.763984222×10^0
1.600712583×10^0,6.482270050×10^0,3.380570068×10^0,6.697372742×10^0
1.610662583×10^0,7.034471741×10^0,3.299588470×10^0,6.647227020×10^0
1.620612583×10^0,6.899901581×10^0,3.530109100×10^0,6.724316711×10^0
1.630562583×10^0,6.620881805×10^0,3.820056152×10^0,6.576424255×10^0
1.640511583×10^0,5.906716919×10^0,3.980672150×10^0,6.472540283×10^0
1.650461583×10^0,4.880301361×10^0,4.180656281×10^0,6.550977173×10^0
1.660411583×10^0,4.051624603×10^0,4.390070801×10^0,6.567143555×10^0
1.670361583×10^0,3.535198517×10^0,4.638254700×10^0,6.286776581×10^0
1.680311583×10^0,3.370840302×10^0,4.970114594×10^0,5.579197998×10^0
