"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.698990458×10^0,5.614368320×10^-1,-7.970620155×10^0,-2.521010160×10^0
1.708938458×10^0,1.517134070×10^0,-7.717932224×10^0,-1.686026216×10^0
1.718887458×10^0,1.598626256×10^0,-7.023592949×10^0,-1.742723584×10^0
1.728835458×10^0,1.193528056×10^0,-5.628184319×10^0,-1.721558571×10^0
1.738783458×10^0,6.037434340×10^-1,-3.621329784×10^0,-1.451061845×10^0
1.748731458×10^0,1.020457596×10^-1,-1.269044757×10^0,-8.138636947×10^-1
1.758679458×10^0,-2.260756642×10^-1,9.744381905×10^-1,1.201958954×10^-2
1.768628458×10^0,-6.070272923×10^-1,2.528782606×10^0,4.046089649×10^-1
1.778576458×10^0,-8.186604381×10^-1,3.227643490×10^0,4.130506516×10^-1
1.788524458×10^0,-8.022757173×10^-1,3.344659567×10^0,3.946118057×10^-1
1.798472458×10^0,-5.734827518×10^-1,3.009197712×10^0,5.044006109×10^-1
1.808420458×10^0,-3.379177749×10^-1,2.486411572×10^0,7.368961573×10^-1
1.818369458×10^0,-1.999311596×10^-1,2.108938217×10^0,1.033670068×10^0
1.828317458×10^0,-2.326445431×10^-1,1.896983624×10^0,1.295098066×10^0
1.838265458×10^0,-4.465206265×10^-1,1.689326763×10^0,1.545535088×10^0
1.848213458×10^0,-8.067643046×10^-1,1.441431999×10^0,1.815078616×10^0
1.858161458×10^0,-1.146708250×10^0,1.198057652×10^0,2.092205048×10^0
1.868110458×10^0,-1.452653289×10^0,9.150440693×10^-1,2.415707588×10^0
1.878058458×10^0,-1.712315321×10^0,3.574548364×10^-1,2.720329046×10^0
1.888006458×10^0,-1.814060092×10^0,-2.971426249×10^-1,3.014330626×10^0
1.897954458×10^0,-1.614717722×10^0,-9.463344812×10^-1,3.170112133×10^0
1.907902458×10^0,-1.169870019×10^0,-1.403758049×10^0,3.087993622×10^0
1.917851458×10^0,-5.354055166×10^-1,-1.518068671×10^0,2.892525673×10^0
1.927799458×10^0,2.980149090×10^-1,-7.856861949×10^-1,2.704699039×10^0
1.937747458×10^0,1.016246080×10^0,4.393482208×10^-1,2.566987991×10^0
1.947695458×10^0,1.811252713×10^0,2.834506035×10^0,2.545575142×10^0
1.957644083×10^0,2.416751385×10^0,5.614319324×10^0,2.736410856×10^0
1.967592083×10^0,2.114588737×10^0,5.612533092×10^0,2.893174410×10^0
1.977541083×10^0,1.317508936×10^0,4.061541557×10^0,2.805284739×10^0
1.987489083×10^0,2.142280191×10^-1,1.887464166×10^0,2.593497276×10^0
1.997437083×10^0,-9.927557111×10^-1,2.192553133×10^-1,2.040510893×10^0
2.007385083×10^0,-1.972609997×10^0,-3.373035491×10^-1,8.169348240×10^-1
2.017333083×10^0,-2.646405935×10^0,-3.222287297×10^-1,-7.718447447×10^-1
2.027282083×10^0,-2.751127958×10^0,-1.713728346×10^-2,-2.356473446×10^0
2.037230083×10^0,-2.315888882×10^0,2.673772871×10^-1,-3.367604017×10^0
2.047178083×10^0,-1.684522986×10^0,-8.041232824×10^-1,-3.133462429×10^0
2.057126083×10^0,-9.012891650×10^-1,-2.381086826×10^0,-2.199074507×10^0
2.067074083×10^0,-1.499033272×10^-1,-3.058620930×10^0,-1.223920941×10^0
2.077023083×10^0,2.351700515×10^-1,-2.560877800×10^0,-5.520301461×10^-1
2.086971083×10^0,-3.983682990×10^-1,-1.753892064×10^0,3.030327335×10^-2
2.096919083×10^0,-2.459296465×10^0,-9.979726672×10^-1,8.032349348×10^-1
2.106867083×10^0,-4.304517269×10^0,-9.429268837×10^-1,1.657994151×10^0
2.116815083×10^0,-5.067086220×10^0,-1.907023668×10^0,2.321413994×10^0
2.126764083×10^0,-4.702523232×10^0,-2.898085594×10^0,2.496821642×10^0
2.136712083×10^0,-3.291251898×10^0,-2.057168722×10^0,1.916144729×10^0
2.146660083×10^0,-1.319522738×10^0,-7.262440324×10^-1,1.062569976×10^0
2.156608083×10^0,1.759494841×10^-1,-1.567502022×10^-1,5.001190901×10^-1
2.166556083×10^0,9.496784210×10^-1,-1.418896616×10^-1,1.388400197×10^-1
2.176505083×10^0,1.140316606×10^0,-3.955120742×10^-1,-9.749422967×10^-2
2.186453083×10^0,1.079259634×10^0,-5.124949813×10^-1,5.411707982×10^-2
2.196401083×10^0,1.013043880×10^0,-3.050001264×10^-1,4.197547138×10^-1
2.206349083×10^0,1.002711892×10^0,-3.530854359×10^-2,7.054216862×10^-1
2.216297083×10^0,9.227944613×10^-1,2.762695849×10^-1,8.228987455×10^-1
2.226246083×10^0,6.354954243×10^-1,7.527982593×10^-1,8.443458676×10^-1
2.236194083×10^0,2.265031785×10^-1,1.281235695×10^0,7.102810144×10^-1
2.246142083×10^0,-1.053916588×10^-1,1.432010174×10^0,3.789678216×10^-1
2.256090083×10^0,-2.577484250×10^-1,1.128816128×10^0,-9.806025028×10^-2
2.266038083×10^0,-1.190978289×10^-1,5.718553662×10^-1,-5.936212540×10^-1
2.275987083×10^0,3.042228222×10^-1,3.120259643×10^-1,-1.068993926×10^0
2.285935083×10^0,7.606768608×10^-1,6.232128739×10^-1,-1.570278883×10^0
2.295883083×10^0,1.316608787×10^0,9.772819877×10^-1,-2.069503546×10^0
2.305831083×10^0,1.914016128×10^0,1.374172330×10^0,-2.556988239×10^0
2.315779083×10^0,2.602658987×10^0,2.143066406×10^0,-3.036639214×10^0
2.325727083×10^0,3.822418213×10^0,3.632944822×10^0,-3.607035398×10^0
2.335676083×10^0,4.932389259×10^0,5.515054226×10^0,-4.232144356×10^0
2.345624083×10^0,5.012119293×10^0,6.611786842×10^0,-4.936112881×10^0
2.355572083×10^0,4.142683983×10^0,5.631907463×10^0,-6.030195713×10^0
2.365520083×10^0,2.297682524×10^0,2.014669180×10^0,-6.425232410×10^0
2.375468083×10^0,1.346331120×10^0,-1.677119851×10^0,-5.227907181×10^0
2.385417083×10^0,1.157135606×10^0,-4.126712322×10^0,-1.718363285×10^0
2.395365083×10^0,2.206908703×10^0,-3.586856127×10^0,1.560090542×10^0
2.405313083×10^0,2.645866394×10^0,-3.749992132×10^0,2.433763504×10^0
2.415261083×10^0,2.456757307×10^0,-4.431324482×10^0,1.563797116×10^0
