"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.793613583×10^0,-4.849914551×10^-2,1.679507446×10^-1,9.862690430×10^0
2.803563583×10^0,-6.900650024×10^-2,1.942959595×10^-1,9.848619690×10^0
2.813512583×10^0,-6.256988525×10^-2,1.790277100×10^-1,9.840237122×10^0
2.823462583×10^0,-5.688171387×10^-2,1.637594604×10^-1,9.861043854×10^0
2.833412583×10^0,-2.080673218×10^-2,1.236428833×10^-1,9.837393036×10^0
2.843362583×10^0,-5.688171387×10^-3,8.876541138×10^-2,9.845925293×10^0
2.853311583×10^0,1.092727661×10^-2,7.813751221×10^-2,9.852661285×10^0
2.863261583×10^0,2.140548706×10^-2,7.289840698×10^-2,9.853260040×10^0
2.873211583×10^0,1.167572021×10^-2,9.205856323×10^-2,9.838590546×10^0
2.883161583×10^0,-7.484436035×10^-4,1.131646729×10^-1,9.843979340×10^0
2.893110583×10^0,-7.484436035×10^-3,1.362167358×10^-1,9.846673737×10^0
2.903060583×10^0,-2.290237427×10^-2,1.490899658×10^-1,9.837542725×10^0
2.913010583×10^0,-3.293151855×10^-2,1.477427673×10^-1,9.843979340×10^0
2.922960583×10^0,-3.891906738×10^-2,1.583706665×10^-1,9.836794281×10^0
2.932909583×10^0,-3.847000122×10^-2,1.396595764×10^-1,9.849517822×10^0
2.942859583×10^0,-5.284011841×10^-2,1.448986816×10^-1,9.839638367×10^0
2.952809583×10^0,-4.730163574×10^-2,1.440005493×10^-1,9.849068756×10^0
2.962759583×10^0,-3.188369751×10^-2,1.320254517×10^-1,9.841135254×10^0
2.972708583×10^0,-1.407073975×10^-2,1.116677856×10^-1,9.849368134×10^0
2.982658583×10^0,-6.286926270×10^-3,8.696914673×10^-2,9.846823425×10^0
2.992608583×10^0,2.320175171×10^-2,8.786727905×10^-2,9.856403503×10^0
3.002558583×10^0,1.841171265×10^-2,8.831634521×10^-2,9.848619690×10^0
3.012507583×10^0,1.137634277×10^-2,9.864486694×10^-2,9.851763153×10^0
3.022457583×10^0,-6.137237549×10^-3,1.392105103×10^-1,9.848470001×10^0
3.032407583×10^0,-3.397933960×10^-2,1.739382935×10^-1,9.848470001×10^0
3.042356583×10^0,-4.161346436×10^-2,1.993853760×10^-1,9.848020935×10^0
3.052306583×10^0,-5.807922363×10^-2,1.787283325×10^-1,9.846074982×10^0
3.062256583×10^0,-4.610412598×10^-2,1.519340515×10^-1,9.849817200×10^0
3.072206583×10^0,-2.604583740×10^-2,1.393601990×10^-1,9.837542725×10^0
3.082155583×10^0,-8.083190918×10^-3,9.550140381×10^-2,9.840386810×10^0
