"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.093951250×10^0,6.927593994×10^0,4.528368210×10^1,1.445693665×10^0
1.103900250×10^0,4.810995483×10^0,3.712235367×10^1,-2.648891602×10^0
1.113850250×10^0,5.501060486×10^-1,2.656929886×10^1,-3.695066071×10^0
1.123799250×10^0,-1.427731018×10^0,1.817715042×10^1,-4.037254486×10^0
1.133748250×10^0,-2.040406952×10^0,1.206895248×10^1,-5.457201691×10^0
1.143698250×10^0,-2.055076447×10^0,8.302784271×10^0,-6.460265808×10^0
1.153647250×10^0,-1.760489044×10^0,6.393654327×10^0,-5.080584869×10^0
1.163597250×10^0,-1.190773773×10^0,5.948480072×10^0,-2.579735413×10^0
1.173546250×10^0,-2.742297363×10^-1,6.250252533×10^0,-7.590715027×10^-1
1.183495250×10^0,2.674937439×10^-1,6.236181793×10^0,-7.783813477×10^-3
1.193445250×10^0,5.818400574×10^-1,5.951174469×10^0,-1.950444031×10^-1
1.203394250×10^0,9.717791748×10^-1,5.953569489×10^0,-1.102756805×10^0
1.213343250×10^0,1.180594940×10^0,6.802903290×10^0,-2.584226074×10^0
1.223293250×10^0,4.242178345×10^-1,8.196804657×10^0,-3.767814789×10^0
1.233242250×10^0,-5.245092773×10^-1,9.191336517×10^0,-3.625610504×10^0
1.243192250×10^0,-8.307723999×10^-1,9.815688171×10^0,-2.924318848×10^0
1.253141250×10^0,-7.658074951×10^-1,1.010159363×10^1,-2.533331909×10^0
1.263090250×10^0,-5.604345703×10^-1,1.020682480×10^1,-2.567760315×10^0
1.273040250×10^0,-1.429527283×10^-1,1.014769775×10^1,-2.973865814×10^0
1.282989250×10^0,2.267784119×10^-1,1.010817993×10^1,-3.545227661×10^0
1.292939250×10^0,4.424798584×10^-1,1.007884094×10^1,-4.037404175×10^0
1.302888250×10^0,4.915777588×10^-1,1.014156052×10^1,-4.380640411×10^0
1.312837250×10^0,4.695735168×10^-1,1.021610550×10^1,-4.471651154×10^0
1.322787250×10^0,3.451821899×10^-1,1.024963577×10^1,-4.344565430×10^0
1.332736250×10^0,2.074685669×10^-1,1.014171021×10^1,-4.125570831×10^0
1.342686250×10^0,1.173559570×10^-1,9.919572144×10^0,-3.876937866×10^0
1.352635250×10^0,3.966751099×10^-2,9.697434082×10^0,-3.579057312×10^0
1.362584250×10^0,-7.095245361×10^-2,9.443711700×10^0,-3.268453217×10^0
1.372534250×10^0,-2.281256104×10^-1,9.133406982×10^0,-3.053350525×10^0
1.382483250×10^0,-4.209246826×10^-1,8.862021332×10^0,-3.050356750×10^0
1.392433250×10^0,-7.475454712×10^-1,8.620124359×10^0,-3.250640259×10^0
1.402382250×10^0,-1.097517700×10^0,8.539442139×10^0,-3.488345947×10^0
1.412331250×10^0,-1.433568878×10^0,8.473279724×10^0,-3.851640472×10^0
1.422281250×10^0,-1.836530914×10^0,8.385861511×10^0,-4.265080719×10^0
1.432230250×10^0,-2.194736023×10^0,8.317603455×10^0,-4.534670105×10^0
1.442180250×10^0,-2.588866425×10^0,8.437953186×10^0,-4.445305939×10^0
1.452129250×10^0,-2.935545502×10^0,8.637787628×10^0,-4.268822937×10^0
1.462078250×10^0,-3.162623291×10^0,8.782536621×10^0,-3.988905029×10^0
1.472028250×10^0,-3.251538391×10^0,8.958570557×10^0,-3.615581360×10^0
1.481977250×10^0,-3.123404846×10^0,9.063951416×10^0,-3.367247772×10^0
1.491927250×10^0,-2.648592224×10^0,9.074878693×10^0,-3.289858704×10^0
1.501876250×10^0,-2.093845825×10^0,9.021888885×10^0,-3.292403412×10^0
1.511825250×10^0,-1.606758728×10^0,9.069938965×10^0,-3.278033295×10^0
1.521775250×10^0,-1.280587006×10^0,9.182205505×10^0,-3.247047729×10^0
1.531724250×10^0,-1.115330658×10^0,9.255103912×10^0,-3.203188934×10^0
1.541674250×10^0,-9.806108093×10^-1,9.201066284×10^0,-3.146157532×10^0
1.551623250×10^0,-8.747808838×10^-1,9.073381805×10^0,-3.167712708×10^0
1.561572250×10^0,-7.888595581×10^-1,8.884923706×10^0,-3.236719208×10^0
1.571522250×10^0,-7.482939148×10^-1,8.726403351×10^0,-3.329825592×10^0
1.581471250×10^0,-7.569758606×10^-1,8.607101440×10^0,-3.471580811×10^0
1.591421250×10^0,-8.563691711×10^-1,8.436306610×10^0,-3.594026184×10^0
1.601370250×10^0,-1.003812561×10^0,8.220455475×10^0,-3.684737549×10^0
1.611319250×10^0,-9.569599915×10^-1,7.991431732×10^0,-3.696113892×10^0
1.621269250×10^0,-8.643026733×10^-1,7.892487488×10^0,-3.698059845×10^0
1.631218250×10^0,-7.183561707×10^-1,7.972121887×10^0,-3.655997314×10^0
1.641168250×10^0,-5.915698242×10^-1,8.113278351×10^0,-3.451223145×10^0
1.651117250×10^0,-5.954617310×10^-1,8.180488586×10^0,-3.377127228×10^0
1.661066250×10^0,-6.966513062×10^-1,8.232430573×10^0,-3.447480927×10^0
1.671016250×10^0,-7.936495972×10^-1,8.287516022×10^0,-3.507805481×10^0
1.680965250×10^0,-9.195378113×10^-1,8.323291626×10^0,-3.565884705×10^0
1.690914250×10^0,-1.083746338×10^0,8.329728241×10^0,-3.636238403×10^0
1.700864250×10^0,-1.306483154×10^0,8.427624664×10^0,-3.751498718×10^0
1.710813250×10^0,-1.523681488×10^0,8.564140778×10^0,-3.855083313×10^0
1.720763250×10^0,-1.684147797×10^0,8.671467590×10^0,-3.846251678×10^0
1.730712250×10^0,-1.640289001×10^0,8.734636230×10^0,-3.776347046×10^0
1.740661250×10^0,-1.533261566×10^0,8.771010590×10^0,-3.733236694×10^0
1.750610875×10^0,-1.531764679×10^0,8.806935883×10^0,-3.724554749×10^0
1.760559875×10^0,-1.623224487×10^0,8.741521912×10^0,-3.707041168×10^0
1.770509875×10^0,-1.771116943×10^0,8.640332336×10^0,-3.668720856×10^0
1.780458875×10^0,-2.010768585×10^0,8.472980347×10^0,-3.651656342×10^0
1.790408875×10^0,-2.212998047×10^0,8.264314270×10^0,-3.704795837×10^0
1.800357875×10^0,-2.359094238×10^0,7.998467102×10^0,-3.790567474×10^0
1.810306875×10^0,-2.382146301×10^0,8.006250916×10^0,-3.814517670×10^0
1.820256875×10^0,-2.329755249×10^0,8.541388092×10^0,-3.839365997×10^0
1.830205875×10^0,-2.305505676×10^0,9.589209137×10^0,-3.784430237×10^0
1.840155875×10^0,-2.131866760×10^0,1.106753494×10^1,-3.554658051×10^0
1.850104875×10^0,-1.733694763×10^0,1.278910492×10^1,-3.190615082×10^0
1.860053875×10^0,-1.181642761×10^0,1.454001389×10^1,-2.862048340×10^0
1.870003875×10^0,-2.386038208×10^-1,1.540656189×10^1,-2.442470856×10^0
1.879952875×10^0,1.182241516×10^0,1.454210953×10^1,-1.900597687×10^0
1.889901875×10^0,2.291434937×10^0,1.249361938×10^1,-1.371897125×10^0
1.899851875×10^0,2.431543579×10^0,1.023601410×10^1,-1.049018555×10^0
1.909800875×10^0,1.689536591×10^0,8.268056488×10^0,-8.674461365×10^-1
1.919750875×10^0,9.165440369×10^-1,6.974895630×10^0,-6.084846497×10^-1
1.929699875×10^0,4.135899353×10^-1,6.414461060×10^0,-3.080593872×10^-1
1.939649875×10^0,2.272274780×10^-1,6.581064606×10^0,6.541397095×10^-2
1.949598875×10^0,3.721261597×10^-1,7.306456146×10^0,5.667214966×10^-1
1.959547875×10^0,5.695655823×10^-1,8.227790222×10^0,1.013093262×10^0
1.969497875×10^0,6.975494385×10^-1,9.128317566×10^0,1.342408447×10^0
1.979446875×10^0,8.243357849×10^-1,9.952503662×10^0,1.614542542×10^0
1.989396875×10^0,8.622070313×10^-1,1.074046509×10^1,1.788331146×10^0
1.999345875×10^0,7.735913086×10^-1,1.142244690×10^1,1.679058380×10^0
2.009294875×10^0,5.493576050×10^-1,1.190728867×10^1,1.260528717×10^0
2.019244875×10^0,2.890489197×10^-1,1.212403793×10^1,5.179229736×10^-1
2.029193875×10^0,1.540296936×10^-1,1.199051559×10^1,-4.873864746×10^-1
2.039142875×10^0,1.296304321×10^-1,1.162781982×10^1,-1.811233521×10^0
2.049092875×10^0,1.242416382×10^-2,1.105945175×10^1,-3.242108002×10^0
2.059041875×10^0,-2.939886475×10^-1,1.034229309×10^1,-4.157155151×10^0
2.068991875×10^0,-6.414161682×10^-1,9.567803650×10^0,-4.077969818×10^0
