"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.303665708×10^0,-6.417604523×10^0,5.732928314×10^0,9.286688232×10^-1
1.313615708×10^0,-7.016359406×10^0,6.031856689×10^0,-6.376739502×10^-2
1.323564708×10^0,-6.834337921×10^0,5.368136902×10^0,-7.149133301×10^-1
1.333513708×10^0,-6.295458527×10^0,4.912185059×10^0,-7.958949280×10^-1
1.343462708×10^0,-5.865552521×10^0,4.931494904×10^0,-4.465214539×10^-1
1.353411708×10^0,-5.476212158×10^0,4.930447083×10^0,-5.433700562×10^-2
1.363361708×10^0,-5.707032166×10^0,4.878355408×10^0,4.236190796×10^-2
1.373310708×10^0,-6.501280518×10^0,5.466781769×10^0,-2.926414490×10^-1
1.383259708×10^0,-6.973249054×10^0,6.092779999×10^0,-6.433621216×10^-1
1.393208708×10^0,-6.732250214×10^0,6.325396271×10^0,-1.170565796×10^0
1.403157708×10^0,-6.371500397×10^0,6.634653168×10^0,-1.770518188×10^0
1.413107708×10^0,-6.043682098×10^0,6.681356049×10^0,-1.979034576×10^0
1.423056708×10^0,-5.932613068×10^0,6.397097168×10^0,-1.828447723×10^0
1.433005708×10^0,-5.600004730×10^0,6.607260132×10^0,-2.054777069×10^0
1.442954708×10^0,-5.518873444×10^0,7.245832214×10^0,-2.348316650×10^0
1.452903208×10^0,-5.463039551×10^0,7.271279297×10^0,-2.402204590×10^0
1.462853208×10^0,-5.367388458×10^0,6.980434113×10^0,-2.702330475×10^0
1.472802208×10^0,-5.714666290×10^0,6.503376160×10^0,-3.139720917×10^0
1.482751208×10^0,-6.592740326×10^0,5.924380188×10^0,-3.080593872×10^0
1.492700208×10^0,-7.251670074×10^0,5.788163452×10^0,-2.802322540×10^0
1.502649208×10^0,-7.628885651×10^0,5.722599792×10^0,-2.587070160×10^0
1.512599208×10^0,-7.881410522×10^0,5.550757141×10^0,-2.469265137×10^0
1.522548208×10^0,-7.779622192×10^0,5.607788544×10^0,-2.636317749×10^0
1.532497208×10^0,-7.742349701×10^0,5.333558807×10^0,-2.714904327×10^0
1.542446208×10^0,-7.138206024×10^0,5.500761108×10^0,-2.869532776×10^0
1.552395208×10^0,-6.837182007×10^0,5.518723755×10^0,-3.026556244×10^0
1.562345208×10^0,-6.738237762×10^0,5.371879120×10^0,-3.168311462×10^0
1.572294208×10^0,-6.299649811×10^0,5.461243286×10^0,-3.153492279×10^0
1.582243208×10^0,-6.188281403×10^0,5.582790527×10^0,-3.140169983×10^0
1.592192208×10^0,-6.307433624×10^0,5.764213257×10^0,-3.180136871×10^0
1.602141208×10^0,-5.907615051×10^0,6.256988525×10^0,-3.229534149×10^0
1.612091208×10^0,-5.507347412×10^0,6.640491028×10^0,-3.387156372×10^0
1.622040208×10^0,-5.811814270×10^0,6.720275116×10^0,-3.330574036×10^0
1.631989208×10^0,-6.321204987×10^0,6.129603424×10^0,-3.224594421×10^0
1.641938208×10^0,-6.638395386×10^0,5.281616821×10^0,-3.514990540×10^0
1.651887208×10^0,-6.696773987×10^0,4.693789215×10^0,-4.053121490×10^0
1.661837208×10^0,-6.498735809×10^0,4.355492706×10^0,-4.927303619×10^0
1.671786208×10^0,-6.268514557×10^0,4.160448303×10^0,-5.992338867×10^0
1.681735208×10^0,-6.609804840×10^0,4.092190247×10^0,-7.865393829×10^0
1.691684208×10^0,-6.972500610×10^0,3.984564056×10^0,-9.065148926×10^0
1.701633208×10^0,-7.532336426×10^0,4.192631378×10^0,-8.454868011×10^0
1.711583208×10^0,-8.255183258×10^0,4.947960663×10^0,-8.969647522×10^0
1.721532208×10^0,-8.025560760×10^0,5.526058502×10^0,-9.161847839×10^0
1.731481208×10^0,-7.873327332×10^0,5.475014648×10^0,-8.375383301×10^0
1.741430208×10^0,-8.521329803×10^0,5.282365265×10^0,-7.055278473×10^0
1.751379208×10^0,-9.610914001×10^0,5.310506744×10^0,-5.882018280×10^0
1.761328208×10^0,-9.994266815×10^0,5.558690643×10^0,-5.221741333×10^0
1.771278208×10^0,-9.587412872×10^0,5.913452911×10^0,-5.420078888×10^0
1.781227208×10^0,-9.395661621×10^0,6.472839661×10^0,-5.972430267×10^0
1.791176208×10^0,-9.708810425×10^0,7.147037659×10^0,-6.194268951×10^0
1.801125208×10^0,-1.024858795×10^1,7.319479065×10^0,-5.874683533×10^0
1.811074208×10^0,-1.105391327×10^1,7.099137268×10^0,-5.285209351×10^0
1.821024208×10^0,-1.182945053×10^1,6.980434113×10^0,-4.423451385×10^0
1.830973208×10^0,-1.229273712×10^1,6.620133362×10^0,-3.318000183×10^0
1.840922208×10^0,-1.255978180×10^1,6.808142395×10^0,-2.370320892×10^0
1.850871208×10^0,-1.257609787×10^1,7.806266785×10^0,-1.166673889×10^0
1.860820208×10^0,-1.196686478×10^1,8.507857819×10^0,4.017645264×10^-1
1.870770208×10^0,-1.118040024×10^1,8.590485992×10^0,1.622925110×10^0
1.880719208×10^0,-1.039169037×10^1,8.406368866×10^0,2.632874908×10^0
1.890668208×10^0,-8.982670441×10^0,8.199648743×10^0,2.818937988×10^0
1.900617208×10^0,-7.439080353×10^0,8.156239014×10^0,2.258353729×10^0
1.910566208×10^0,-6.572682037×10^0,8.070467377×10^0,1.725312195×10^0
1.920516208×10^0,-6.193221130×10^0,7.887398071×10^0,1.125808868×10^0
1.930465208×10^0,-5.793103180×10^0,7.569309540×10^0,2.866539001×10^-1
1.940414208×10^0,-5.654341736×10^0,7.047943726×10^0,-4.546046448×10^-1
1.950363208×10^0,-5.723946991×10^0,6.517596588×10^0,-8.508306885×10^-1
1.960312208×10^0,-6.018833771×10^0,6.149961090×10^0,-8.872050476×10^-1
1.970262208×10^0,-6.595584412×10^0,5.843548279×10^0,-7.485932922×10^-1
1.980211208×10^0,-6.911876678×10^0,5.685926056×10^0,-3.568579102×10^-1
1.990160208×10^0,-6.331982574×10^0,5.981561279×10^0,1.269360352×10^-1
2.000109208×10^0,-5.482648773×10^0,6.055507507×10^0,4.843927002×10^-1
2.010058208×10^0,-5.076393585×10^0,5.565426636×10^0,7.171586609×10^-1
2.020007208×10^0,-4.786147156×10^0,4.863835602×10^0,5.550457764×10^-1
