"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.201613583×10^0,-3.725232184×10^-1,-8.878805488×10^-2,1.976943463×10^-1
1.211563583×10^0,-3.959750235×10^-1,-8.283642679×10^-2,2.104301155×10^-1
1.221512583×10^0,-4.081713855×10^-1,-5.008249357×10^-2,2.213368565×10^-1
1.231462583×10^0,-4.089650214×10^-1,4.675829317×10^-3,2.132493705×10^-1
1.241411583×10^0,-3.932329714×10^-1,6.587916613×10^-2,2.029858828×10^-1
1.251361583×10^0,-3.690192699×10^-1,1.332859099×10^-1,1.830851436×10^-1
1.261311583×10^0,-3.435711265×10^-1,1.848635674×10^-1,1.569929272×10^-1
1.271260583×10^0,-3.235556185×10^-1,2.272064835×10^-1,1.278619319×10^-1
1.281210583×10^0,-3.185097873×10^-1,2.406590879×10^-1,1.142561808×10^-1
1.291160583×10^0,-3.329824507×10^-1,2.367109507×10^-1,1.202392355×10^-1
1.301109583×10^0,-3.566724956×10^-1,2.218900621×10^-1,1.311386526×10^-1
1.311059583×10^0,-3.903659880×10^-1,1.904588938×10^-1,1.538202614×10^-1
1.321008583×10^0,-4.326685965×10^-1,1.565084159×10^-1,1.824927181×10^-1
1.330958583×10^0,-4.708098471×10^-1,1.386074424×10^-1,2.065674365×10^-1
1.340908583×10^0,-5.008608103×10^-1,1.028210223×10^-1,2.375021577×10^-1
1.350857583×10^0,-5.181050301×10^-1,7.231078297×10^-2,2.664981484×10^-1
1.360807583×10^0,-5.250263810×10^-1,3.774073720×10^-2,2.849431932×10^-1
1.370756583×10^0,-5.325852633×10^-1,1.934535569×10^-3,2.906658053×10^-1
1.380706583×10^0,-5.451328754×10^-1,-3.769945726×10^-2,2.838507295×10^-1
1.390656583×10^0,-5.713490248×10^-1,-7.818137109×10^-2,2.780351937×10^-1
1.400605583×10^0,-6.191621423×10^-1,-1.135868430×10^-1,2.849859297×10^-1
1.410555583×10^0,-6.802745461×10^-1,-1.187901273×10^-1,3.031337559×10^-1
1.420505583×10^0,-7.414036989×10^-1,-1.085381806×10^-1,3.296901584×10^-1
1.430454583×10^0,-7.790874243×10^-1,-9.442022443×10^-2,3.656404316×10^-1
1.440404583×10^0,-7.846031785×10^-1,-9.435672313×10^-2,3.865902126×10^-1
1.450353583×10^0,-7.622302175×10^-1,-7.963769883×10^-2,3.835145533×10^-1
1.460303583×10^0,-7.379464507×10^-1,-6.046134233×10^-2,3.538530469×10^-1
1.470253583×10^0,-7.224708200×10^-1,-3.044991381×10^-2,3.110070527×10^-1
1.480202583×10^0,-7.178564072×10^-1,1.269410457×10^-2,2.507078648×10^-1
1.490152583×10^0,-7.137194872×10^-1,5.824933574×10^-2,1.841957122×10^-1
1.500101583×10^0,-7.009199262×10^-1,1.124035865×10^-1,1.238903105×10^-1
1.510051583×10^0,-6.828399897×10^-1,1.570394933×10^-1,8.551362157×10^-2
1.520001583×10^0,-6.363765001×10^-1,2.088395953×10^-1,6.024789810×10^-2
1.529950583×10^0,-5.614141226×10^-1,2.406364083×10^-1,3.424718603×10^-2
1.539900583×10^0,-4.827842712×10^-1,2.640032470×10^-1,1.501277462×10^-2
1.549849583×10^0,-4.182020724×10^-1,2.709213495×10^-1,-5.224320106×10^-3
1.559799583×10^0,-3.754703701×10^-1,2.716556787×10^-1,-2.316720784×10^-2
1.569749583×10^0,-3.547762632×10^-1,2.631413043×10^-1,-4.015018418×10^-2
1.579698583×10^0,-3.706701100×10^-1,2.651686668×10^-1,-6.140938029×10^-2
1.589648583×10^0,-4.182488322×10^-1,2.905789614×10^-1,-7.753082365×10^-2
1.599598583×10^0,-4.833752513×10^-1,2.961177230×10^-1,-7.163054496×10^-2
1.609547583×10^0,-5.436071157×10^-1,3.190001547×10^-1,-7.156530023×10^-2
1.619497583×10^0,-5.677505136×10^-1,3.602665365×10^-1,-7.969325036×10^-2
1.629446583×10^0,-5.386341810×10^-1,3.813409209×10^-1,-7.193359733×10^-2
1.639396583×10^0,-4.658544064×10^-1,3.790418804×10^-1,-7.126550376×10^-2
1.649346583×10^0,-3.970769346×10^-1,3.616562486×10^-1,-8.808523417×10^-2
1.659295583×10^0,-3.749133348×10^-1,3.759110272×10^-1,-1.111556962×10^-1
1.669245583×10^0,-3.898933530×10^-1,3.999947906×10^-1,-1.096379608×10^-1
1.679195583×10^0,-4.141183197×10^-1,4.409499168×10^-1,-9.058957547×10^-2
1.689144583×10^0,-4.329452813×10^-1,4.064412117×10^-1,-3.946886584×10^-2
1.699094583×10^0,-4.556888938×10^-1,3.860566318×10^-1,6.100093015×10^-5
1.709043583×10^0,-5.152965784×10^-1,3.329896927×10^-1,2.825029381×10^-2
1.718993583×10^0,-6.135761738×10^-1,2.237524092×10^-1,6.176006049×10^-2
1.728943583×10^0,-7.170714140×10^-1,9.788422287×10^-2,7.191389054×10^-2
1.738892583×10^0,-7.997372746×10^-1,-3.405037522×10^-2,8.406380564×10^-2
1.748842583×10^0,-8.332278728×10^-1,-1.402681619×10^-1,9.103729576×10^-2
1.758791583×10^0,-8.172767758×10^-1,-1.955482960×10^-1,8.782345802×10^-2
1.768741583×10^0,-7.716579437×10^-1,-1.755285263×10^-1,7.166285813×10^-2
1.778691583×10^0,-7.122948170×10^-1,-1.178793758×10^-1,4.959467426×10^-2
1.788640583×10^0,-6.480860114×10^-1,-3.857444227×10^-2,1.885699853×10^-2
1.798590583×10^0,-5.891124010×10^-1,5.948778242×10^-2,-1.331577916×10^-2
1.808539583×10^0,-5.405392647×10^-1,1.882209927×10^-1,-3.298668563×10^-2
1.818489583×10^0,-4.881485999×10^-1,3.659869730×10^-1,-4.357789084×10^-2
1.828439583×10^0,-4.368689060×10^-1,5.331026912×10^-1,-2.996701002×10^-2
1.838388583×10^0,-3.849167228×10^-1,6.640509963×10^-1,-2.214440145×10^-2
1.848338583×10^0,-3.397628367×10^-1,7.364231944×10^-1,-3.909488767×10^-2
1.858288583×10^0,-3.256953359×10^-1,7.645016313×10^-1,-5.759784952×10^-2
1.868237583×10^0,-3.233991563×10^-1,7.677586675×10^-1,-6.814157218×10^-2
1.878187583×10^0,-3.215504885×10^-1,7.291881442×10^-1,-6.425580382×10^-2
1.888136583×10^0,-3.140062988×10^-1,7.089712620×10^-1,-8.477279544×10^-2
1.898086583×10^0,-3.086787760×10^-1,6.698191762×10^-1,-1.073301807×10^-1
1.908036583×10^0,-3.002940714×10^-1,6.264005899×10^-1,-1.311910301×10^-1
1.917985583×10^0,-8.532943726×10^-1,-2.652497292×10^-1,-1.245825291×10^-1
1.927935583×10^0,-7.407502532×10^-1,-3.159126341×10^-1,-3.159480169×10^-2
1.937884583×10^0,-3.900262415×10^-1,-4.335954189×10^-1,-1.992193982×10^-3
1.947834583×10^0,-2.538556457×10^-1,-1.705821604×10^-1,-5.887199193×10^-2
1.957784583×10^0,-4.566413164×10^-1,-2.583204806×10^-1,-7.723556459×10^-2
1.967733583×10^0,-4.423595965×10^-1,-3.465025127×10^-1,-6.568782777×10^-2
1.977683583×10^0,-4.126378894×10^-1,-2.378250957×10^-1,-6.161997467×10^-2
1.987633583×10^0,-4.082079828×10^-1,-1.889054924×10^-1,-4.402153939×10^-2
1.997582583×10^0,-3.987403214×10^-1,-1.179141030×10^-1,-2.444842644×10^-2
2.007532583×10^0,-3.810763955×10^-1,-6.764774024×10^-2,-1.717400178×10^-2
2.017481583×10^0,-3.587107360×10^-1,-4.960012063×10^-2,-1.787040010×10^-2
2.027431583×10^0,-3.389836252×10^-1,-4.356592894×10^-2,-1.595159248×10^-2
2.037381583×10^0,-3.286632299×10^-1,-4.284950718×10^-2,-2.454473265×10^-2
2.047330583×10^0,-3.400903046×10^-1,-2.471258491×10^-2,-5.617935583×10^-2
2.057280583×10^0,-3.612567484×10^-1,-7.063390221×10^-4,-8.595797420×10^-2
2.067229583×10^0,-3.811670840×10^-1,1.068320218×10^-2,-8.801846206×10^-2
2.077179583×10^0,-3.976953626×10^-1,9.335519746×10^-3,-6.762400270×10^-2
2.087129583×10^0,-4.209831357×10^-1,1.637638547×10^-2,-4.629767314×10^-2
2.097078583×10^0,-4.559284449×10^-1,3.805869818×10^-2,-3.000190854×10^-2
2.107028583×10^0,-4.965203404×10^-1,8.280326426×10^-2,-1.647012122×10^-2
2.116978583×10^0,-5.348207951×10^-1,1.419733167×10^-1,-1.267018169×10^-2
2.126927583×10^0,-5.721213222×10^-1,2.090724558×10^-1,-8.303929120×10^-3
2.136877583×10^0,-6.094589233×10^-1,3.022785485×10^-1,-1.150166895×10^-2
2.146826583×10^0,-6.640034318×10^-1,4.484157860×10^-1,-1.352167688×10^-2
2.156776583×10^0,-7.254775167×10^-1,6.037763953×10^-1,-4.218488932×10^-2
2.166726583×10^0,-8.126070499×10^-1,8.192503452×10^-1,-8.579574525×10^-2
2.176675583×10^0,-9.354377985×10^-1,1.076799154×10^0,-1.613680273×10^-1
