"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.754704958×10^0,-3.150797882×10^0,-9.515711975×10^-1,3.150199127×10^0
2.764653958×10^0,-1.175954590×10^0,3.758683777×10^-1,4.955295410×10^0
2.774601958×10^0,-2.686912537×10^-1,6.590794373×10^-1,2.719095612×10^0
2.784549958×10^0,-1.001417542×10^-1,1.508712616×10^0,1.787133636×10^0
2.794497958×10^0,3.936813354×10^-2,4.544699249×10^0,1.673669586×10^0
2.804446958×10^0,5.700146484×10^-1,1.051383636×10^1,1.226848755×10^0
2.814394958×10^0,4.531077576×10^-1,1.636397095×10^1,1.486408997×10^-1
2.824342958×10^0,-6.406677246×10^-2,1.849808304×10^1,3.450325012×10^0
2.834290958×10^0,-7.105274506×10^0,2.425002182×10^1,-1.059481796×10^1
2.844239958×10^0,-1.864492767×10^1,3.592723892×10^1,-1.379471375×10^1
2.854187958×10^0,-2.483171219×10^1,4.470917679×10^1,-5.096002808×10^0
2.864135958×10^0,-1.392135040×10^1,4.013364166×10^1,-2.252964935×10^0
2.874083958×10^0,-1.927541656×10^0,2.722089386×10^1,-1.577569427×10^0
2.884032958×10^0,2.541115723×10^0,1.886586823×10^1,-2.663561096×10^0
2.893980958×10^0,3.768563232×10^0,1.503757919×10^1,-4.656965790×10^0
2.903928958×10^0,3.297343140×10^0,1.316512299×10^1,-5.192252655×10^0
2.913876958×10^0,-1.893562317×10^-1,1.277398636×10^1,-5.288053436×10^0
2.923825958×10^0,-4.091292114×10^0,1.229588058×10^1,-5.367388458×10^0
2.933773958×10^0,-7.513475647×10^0,1.161674286×10^1,-6.390510864×10^0
2.943721958×10^0,-9.907297668×10^0,1.046249313×10^1,-5.155878296×10^0
2.953669958×10^0,-1.134805161×10^1,8.667725372×10^0,-1.681154022×10^0
2.963618958×10^0,-1.170790329×10^1,6.611152039×10^0,1.151555328×10^0
2.973566958×10^0,-1.056996964×10^1,4.821623383×10^0,2.758912811×10^0
2.983514958×10^0,-8.399034119×10^0,3.217409363×10^0,3.323987732×10^0
2.993462958×10^0,-6.011199646×10^0,1.855541382×10^0,3.136427765×10^0
3.003411958×10^0,-4.429289246×10^0,7.848179626×10^-1,2.186054077×10^0
3.013359958×10^0,-3.325334930×10^0,-2.315684509×10^-1,1.318009186×10^0
3.023307958×10^0,-2.358645172×10^0,-9.063652039×10^-1,9.635462952×10^-1
