"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.742353958×10^0,7.569758606×10^-1,9.852212219×10^0,8.107141113×10^-1
1.752303958×10^0,7.494914246×10^-1,9.826465759×10^0,8.759783936×10^-1
1.762253958×10^0,7.583230591×10^-1,9.777068481×10^0,8.391549683×10^-1
1.772203958×10^0,8.301736450×10^-1,9.816735992×10^0,7.509883118×10^-1
1.782153958×10^0,8.949888611×10^-1,9.879754944×10^0,7.122189331×10^-1
1.792103958×10^0,1.021775208×10^0,9.825567627×10^0,6.936575317×10^-1
1.802053958×10^0,1.080004120×10^0,9.782906342×10^0,7.517367554×10^-1
1.812004958×10^0,9.854008484×10^-1,9.764344940×10^0,7.996371460×10^-1
1.821954958×10^0,9.499246216×10^-1,9.660011902×10^0,8.132588196×10^-1
1.831904958×10^0,8.747808838×10^-1,9.592951355×10^0,8.382568359×10^-1
1.841854958×10^0,7.125183105×10^-1,9.582173767×10^0,8.286767578×10^-1
1.851804958×10^0,6.289920044×10^-1,9.626032562×10^0,8.358618164×10^-1
1.861754958×10^0,5.852828979×10^-1,9.611213379×10^0,8.384065247×10^-1
1.871704958×10^0,5.210664368×10^-1,9.583520966×10^0,8.975335693×10^-1
1.881655958×10^0,5.376818848×10^-1,9.547595673×10^0,9.952803040×10^-1
1.891605958×10^0,5.587879944×10^-1,9.507030029×10^0,1.066831512×10^0
1.901555958×10^0,6.029461670×10^-1,9.546098785×10^0,1.049617310×10^0
1.911505958×10^0,8.054750061×10^-1,9.660311279×10^0,9.776170349×10^-1
1.921455958×10^0,1.067579956×10^0,9.770182800×10^0,8.080197144×10^-1
1.931405958×10^0,1.448986816×10^0,9.683363342×10^0,6.765930176×10^-1
1.941355958×10^0,1.550625458×10^0,9.605225830×10^0,5.828878784×10^-1
1.951306958×10^0,1.291514282×10^0,9.661359100×10^0,6.123765564×10^-1
1.961256958×10^0,1.004111938×10^0,9.787696381×10^0,7.426057434×10^-1
1.971206958×10^0,9.604028320×10^-1,9.810149689×10^0,9.017248535×10^-1
1.981156958×10^0,1.044078827×10^0,9.809850311×10^0,1.050814819×10^0
1.991106958×10^0,1.033750305×10^0,9.815239105×10^0,1.161883850×10^0
2.001056958×10^0,9.036708069×10^-1,9.888736267×10^0,1.172212372×10^0
2.011006958×10^0,7.497908020×10^-1,9.907896423×10^0,1.076112213×10^0
2.020957958×10^0,9.148974609×10^-1,9.724078674×10^0,1.126257935×10^0
2.030907958×10^0,9.969268799×10^-1,9.748927002×10^0,1.386865997×10^0
2.040857958×10^0,9.153465271×10^-1,9.867480469×10^0,1.621428223×10^0
2.050807958×10^0,8.041278076×10^-1,9.970765686×10^0,1.687740326×10^0
2.060757958×10^0,8.922944641×10^-1,9.964478760×10^0,1.702110443×10^0
2.070707958×10^0,1.006057892×10^0,9.929301910×10^0,1.660347290×10^0
2.080657958×10^0,1.028660889×10^0,9.939780121×10^0,1.554966431×10^0
2.090608958×10^0,9.096583557×10^-1,9.974507904×10^0,1.474433899×10^0
2.100558958×10^0,8.093669128×10^-1,9.978848877×10^0,1.441652069×10^0
2.110508958×10^0,8.066725159×10^-1,9.947863312×10^0,1.414708099×10^0
2.120458958×10^0,7.593708801×10^-1,9.924811249×10^0,1.410067749×10^0
2.130408958×10^0,7.466473389×10^-1,9.928104401×10^0,1.413660278×10^0
2.140358958×10^0,7.641609192×10^-1,9.912087708×10^0,1.411414948×10^0
2.150308958×10^0,7.705975342×10^-1,9.875713348×10^0,1.408271484×10^0
2.160259958×10^0,7.277865601×10^-1,9.872120819×10^0,1.411714325×10^0
2.170209958×10^0,6.741979980×10^-1,9.923314362×10^0,1.502425690×10^0
2.180159958×10^0,6.677613831×10^-1,9.919422455×10^0,1.634301453×10^0
2.190109958×10^0,7.226971436×10^-1,9.874216461×10^0,1.721869354×10^0
2.200059958×10^0,7.295828247×10^-1,9.776619415×10^0,1.755249939×10^0
2.210009958×10^0,6.872209167×10^-1,9.698481903×10^0,1.721270599×10^0
2.219959958×10^0,7.346722412×10^-1,9.683513031×10^0,1.600920868×10^0
2.229910958×10^0,8.128097534×10^-1,9.711804199×10^0,1.465153198×10^0
2.239860958×10^0,8.385562134×10^-1,9.738448792×10^0,1.406924286×10^0
2.249810958×10^0,8.327183533×10^-1,9.755513306×10^0,1.454824677×10^0
2.259760958×10^0,8.134085083×10^-1,9.730215912×10^0,1.485660553×10^0
2.269710958×10^0,7.405101013×10^-1,9.692344666×10^0,1.489552460×10^0
2.279660958×10^0,7.140151978×10^-1,9.667795715×10^0,1.463356934×10^0
2.289610958×10^0,7.213499451×10^-1,9.640252991×10^0,1.423988800×10^0
2.299561958×10^0,7.602690125×10^-1,9.618847504×10^0,1.390608215×10^0
2.309511958×10^0,8.193960571×10^-1,9.655371552×10^0,1.387015686×10^0
2.319461958×10^0,8.526269531×10^-1,9.681267700×10^0,1.420545959×10^0
2.329411958×10^0,8.216413879×10^-1,9.720935211×10^0,1.415157166×10^0
2.339361958×10^0,7.676037598×10^-1,9.694889374×10^0,1.379980316×10^0
2.349311958×10^0,7.057823181×10^-1,9.623787231×10^0,1.260977783×10^0
2.359261958×10^0,7.417076111×10^-1,9.640552368×10^0,1.136436768×10^0
2.369212958×10^0,8.663983154×10^-1,9.623637543×10^0,1.027164001×10^0
2.379162958×10^0,1.004561005×10^0,9.579030304×10^0,9.614506531×10^-1
2.389112958×10^0,1.056502991×10^0,9.564360809×10^0,9.413923645×10^-1
2.399062958×10^0,1.018482056×10^0,9.564360809×10^0,9.032217407×10^-1
2.409012958×10^0,8.867559814×10^-1,9.548344116×10^0,9.322613525×10^-1
2.418962958×10^0,7.583230591×10^-1,9.570348358×10^0,1.017583923×10^0
2.428912958×10^0,6.568341064×10^-1,9.577383728×10^0,1.120120697×10^0
2.438863958×10^0,6.200106812×10^-1,9.555379486×10^0,1.163530426×10^0
2.448813958×10^0,6.481521606×10^-1,9.546996918×10^0,1.146765289×10^0
2.458763958×10^0,7.354206848×10^-1,9.569899292×10^0,1.140328674×10^0
2.468713958×10^0,8.809181213×10^-1,9.606722717×10^0,1.089733887×10^0
2.478663958×10^0,9.680369568×10^-1,9.621092834×10^0,9.837542725×10^-1
2.488613958×10^0,9.669891357×10^-1,9.615105286×10^0,8.837622070×10^-1
2.498564958×10^0,8.789721680×10^-1,9.624236298×10^0,8.232879639×10^-1
2.508515792×10^0,7.656578064×10^-1,9.640252991×10^0,8.134085083×10^-1
2.518465792×10^0,7.122189331×10^-1,9.614955597×10^0,8.698411560×10^-1
2.528415792×10^0,6.951544189×10^-1,9.596394196×10^0,9.464817810×10^-1
2.538365792×10^0,6.821315002×10^-1,9.620494080×10^0,9.931846619×10^-1
2.548315792×10^0,7.515870667×10^-1,9.684411163×10^0,1.043929138×10^0
2.558265792×10^0,8.168513489×10^-1,9.727820892×10^0,1.088835754×10^0
2.568216792×10^0,7.943980408×10^-1,9.748777313×10^0,1.135688324×10^0
2.578166792×10^0,7.435038757×10^-1,9.728269958×10^0,1.122066650×10^0
2.588116792×10^0,7.622149658×10^-1,9.721234589×10^0,1.121767273×10^0
2.598066792×10^0,8.421487427×10^-1,9.735455017×10^0,1.096769257×10^0
2.608016792×10^0,9.395960999×10^-1,9.746681671×10^0,1.023721161×10^0
2.617966792×10^0,9.505233765×10^-1,9.761351166×10^0,9.147477722×10^-1
2.627916792×10^0,9.565109253×10^-1,9.798174591×10^0,8.321195984×10^-1
2.637866792×10^0,1.009201355×10^0,9.795779572×10^0,7.738906860×10^-1
2.647817792×10^0,9.925859070×10^-1,9.801318054×10^0,7.539820862×10^-1
2.657767792×10^0,9.201365662×10^-1,9.790241089×10^0,8.021818542×10^-1
2.667717792×10^0,7.849676514×10^-1,9.698032837×10^0,9.032217407×10^-1
2.677667792×10^0,6.581813049×10^-1,9.653126221×10^0,9.882449341×10^-1
2.687617792×10^0,6.412664795×10^-1,9.698332214×10^0,1.021924896×10^0
2.697567792×10^0,7.228468323×10^-1,9.802216187×10^0,9.726773071×10^-1
2.707518792×10^0,8.364605713×10^-1,9.883048096×10^0,8.873547363×10^-1
2.717468792×10^0,9.339079285×10^-1,9.926008759×10^0,7.961943054×10^-1
2.727418792×10^0,1.005159760×10^0,9.913734283×10^0,6.676116943×10^-1
2.737368792×10^0,1.053658905×10^0,9.934241638×10^0,5.406756592×10^-1
2.747318792×10^0,1.009800110×10^0,1.002225861×10^1,5.093907166×10^-1
2.757268792×10^0,9.638456726×10^-1,1.003004242×10^1,6.021977234×10^-1
2.767218792×10^0,8.797206116×10^-1,9.950707397×10^0,7.713459778×10^-1
2.777169792×10^0,7.608677673×10^-1,9.896969147×10^0,9.142987061×10^-1
2.787119792×10^0,7.288343811×10^-1,9.875713348×10^0,1.035995636×10^0
2.797069792×10^0,7.165599060×10^-1,9.914632416×10^0,1.093027039×10^0
2.807019792×10^0,7.439529419×10^-1,9.920021210×10^0,1.079704742×10^0
2.816969792×10^0,7.789801025×10^-1,9.874066772×10^0,1.010249176×10^0
2.826919792×10^0,7.565267944×10^-1,9.829309845×10^0,9.484277344×10^-1
2.836869792×10^0,7.279362488×10^-1,9.779463501×10^0,8.957373047×10^-1
2.846820792×10^0,7.189549255×10^-1,9.747879181×10^0,8.773255920×10^-1
2.856770792×10^0,7.316784668×10^-1,9.758956146×10^0,9.020242310×10^-1
2.866720792×10^0,7.670050049×10^-1,9.714348907×10^0,9.234297180×10^-1
2.876670792×10^0,7.128176880×10^-1,9.688752136×10^0,9.906399536×10^-1
2.886620792×10^0,6.724017334×10^-1,9.680519257×10^0,1.048868866×10^0
2.896570792×10^0,6.300398254×10^-1,9.653724976×10^0,1.036444702×10^0
2.906520792×10^0,6.707551575×10^-1,9.678722992×10^0,9.756710815×10^-1
2.916471792×10^0,7.966433716×10^-1,9.779164124×10^0,9.066645813×10^-1
2.926421792×10^0,9.647438049×10^-1,9.922565918×10^0,8.601113892×10^-1
2.936371792×10^0,1.124761047×10^0,9.977501678×10^0,8.009843445×10^-1
2.946321792×10^0,1.179996185×10^0,9.998308411×10^0,7.276368713×10^-1
2.956271792×10^0,1.200353851×10^0,9.983489227×10^0,5.851332092×10^-1
2.966221792×10^0,1.211580505×10^0,9.979297943×10^0,4.605921936×10^-1
2.976171792×10^0,1.185834045×10^0,9.984087982×10^0,3.835025024×10^-1
2.986122792×10^0,1.209035797×10^0,9.929301910×10^0,2.823129272×10^-1
2.996072792×10^0,1.160087585×10^0,9.907147980×10^0,2.504292297×10^-1
3.006022792×10^0,1.052611084×10^0,9.851912842×10^0,2.951861572×10^-1
3.015972792×10^0,9.827064514×10^-1,9.717492371×10^0,3.869453430×10^-1
3.025922792×10^0,8.283773804×10^-1,9.679770813×10^0,4.498146057×10^-1
3.035872792×10^0,7.141648865×10^-1,9.670939178×10^0,5.156776428×10^-1
3.045822792×10^0,6.661148071×10^-1,9.584119720×10^0,5.685177612×10^-1
3.055773792×10^0,5.909710693×10^-1,9.532327423×10^0,6.059399414×10^-1
3.065723792×10^0,5.173242188×10^-1,9.530231781×10^0,6.027964783×10^-1
3.075673792×10^0,4.520599365×10^-1,9.526190186×10^0,5.637277222×10^-1
3.085623792×10^0,4.724176025×10^-1,9.559421082×10^0,5.267546082×10^-1
3.095573792×10^0,5.896238708×10^-1,9.581425323×10^0,4.622387695×10^-1
3.105523792×10^0,6.914122009×10^-1,9.645791473×10^0,3.894900513×10^-1
3.115473792×10^0,7.209008789×10^-1,9.704469452×10^0,3.356021118×10^-1
3.125424792×10^0,6.800358582×10^-1,9.735904083×10^0,3.561094666×10^-1
3.135374792×10^0,6.330335999×10^-1,9.761650543×10^0,4.279600525×10^-1
3.145324792×10^0,6.291416931×10^-1,9.762249298×10^0,5.414241028×10^-1
3.155274792×10^0,6.557862854×10^-1,9.779912567×10^0,6.414161682×10^-1
3.165224792×10^0,6.960525513×10^-1,9.829459534×10^0,6.715036011×10^-1
3.175174792×10^0,7.235952759×10^-1,9.863139496×10^0,6.423143005×10^-1
3.185124792×10^0,7.725434875×10^-1,9.907896423×10^0,6.337820435×10^-1
3.195075792×10^0,8.638536072×10^-1,9.946216736×10^0,6.367758179×10^-1
3.205025792×10^0,9.752220154×10^-1,1.003153931×10^1,6.676116943×10^-1
3.214975792×10^0,1.088536377×10^0,1.006072861×10^1,6.472540283×10^-1
3.224925792×10^0,1.086141357×10^0,1.008872040×10^1,5.310955811×10^-1
3.234875792×10^0,1.020428009×10^0,1.015054184×10^1,3.468287659×10^-1
3.244825792×10^0,9.604028320×10^-1,1.015413437×10^1,1.990859985×10^-1
3.254775792×10^0,9.110055542×10^-1,1.009830048×10^1,1.098715210×10^-1
3.264726792×10^0,8.363108826×10^-1,1.005593857×10^1,6.376739502×10^-2
3.274676792×10^0,7.509883118×10^-1,9.995614014×10^0,9.744735718×10^-2
3.284626792×10^0,6.065386963×10^-1,9.895322571×10^0,1.812730408×10^-1
3.294576792×10^0,4.272116089×10^-1,9.818083191×10^0,2.971321106×10^-1
