"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.158655417×10^-1,-3.561266884×10^-2,7.006933689×10^-1,1.176669970×10^-1
9.258155417×10^-1,-2.236992866×10^-1,5.674357414×10^-1,-2.773508057×10^-2
9.357645417×10^-1,-2.292213589×10^-1,6.592705846×10^-1,-1.930848956×10^-1
9.457145417×10^-1,-1.524235010×10^-1,9.147413969×10^-1,-2.331605405×10^-1
9.556645417×10^-1,-7.147511840×10^-2,1.191124320×10^0,-2.598262429×10^-1
9.656135417×10^-1,1.741559803×10^-2,1.379287958×10^0,-3.177241981×10^-1
9.755635417×10^-1,4.853117093×10^-2,1.522834539×10^0,-3.074036539×10^-1
9.855135417×10^-1,5.746978521×10^-2,1.573646307×10^0,-2.140028030×10^-1
9.954625417×10^-1,6.920367479×10^-2,1.555011988×10^0,-8.589809388×10^-2
1.005412542×10^0,3.796562552×10^-2,1.534500241×10^0,4.776415229×10^-2
1.015362542×10^0,-4.245331511×10^-2,1.533473372×10^0,1.600709856×10^-1
1.025311542×10^0,5.832757056×10^-2,1.378664136×10^0,2.572591007×10^-1
1.035261542×10^0,8.885831386×10^-2,1.349948406×10^0,2.504640520×10^-1
1.045211542×10^0,5.190000683×10^-2,1.312615633×10^0,2.842234075×10^-1
1.055160542×10^0,1.850050502×10^-2,1.106461644×10^0,3.489869535×10^-1
1.065110542×10^0,-1.470427681×10^-2,8.911607265×10^-1,4.411002100×10^-1
1.075060542×10^0,3.350559622×10^-2,7.915912867×10^-1,4.979221821×10^-1
1.085009542×10^0,1.100049019×10^-1,7.686777115×10^-1,5.003055334×10^-1
1.094959542×10^0,1.238770410×10^-1,8.542882204×10^-1,4.197236001×10^-1
1.104909542×10^0,1.176775247×10^-1,7.583525181×10^-1,3.117608428×10^-1
1.114858542×10^0,1.444923580×10^-1,5.354000926×10^-1,1.899936646×10^-1
1.124808542×10^0,1.942044348×10^-1,4.287628829×10^-1,1.110677496×10^-1
1.134758542×10^0,3.972241282×10^-1,6.205365658×10^-1,1.077846065×10^-1
1.144707542×10^0,6.200600863×10^-1,9.682651162×10^-1,2.947587371×10^-1
1.154657542×10^0,4.585433304×10^-1,9.024357796×10^-1,6.873832345×10^-1
1.164606542×10^0,4.012911022×10^-1,4.321400821×10^-1,1.178546190×10^0
1.174556542×10^0,5.445763469×10^-1,2.395559698×10^-1,1.459960341×10^0
1.184506542×10^0,6.240093112×10^-1,1.190021336×10^-1,1.558866739×10^0
1.194455542×10^0,6.587795615×10^-1,-1.042991281×10^-1,1.644529939×10^0
1.204405542×10^0,6.609688997×10^-1,-2.913461328×10^-1,1.720500469×10^0
1.214355542×10^0,6.217639446×10^-1,-3.365769982×10^-1,1.797119856×10^0
1.224304542×10^0,5.212193131×10^-1,-2.232838124×10^-1,1.872599483×10^0
1.234254542×10^0,3.645444810×10^-1,1.659110188×10^-2,1.939618945×10^0
1.244204542×10^0,1.599606872×10^-1,1.966451854×10^-1,1.968983173×10^0
1.254153542×10^0,-5.556335673×10^-2,2.991864681×10^-1,1.959753990×10^0
1.264103542×10^0,-1.887592375×10^-1,3.640921712×10^-1,1.940623045×10^0
1.274053542×10^0,-2.225547433×10^-1,4.055304229×10^-1,1.922129512×10^0
1.284002542×10^0,-1.152457744×10^-1,5.866729021×10^-1,1.838435173×10^0
1.293952542×10^0,1.891199797×10^-1,8.982153535×10^-1,1.645969033×10^0
1.303902542×10^0,6.495112777×10^-1,8.504459262×10^-1,1.478522062×10^0
1.313851542×10^0,1.064527392×10^0,2.005235553×10^-1,1.430418491×10^0
1.323801542×10^0,1.450433016×10^0,-6.850115061×10^-1,1.357459903×10^0
1.333751542×10^0,1.482261777×10^0,-9.315171242×10^-1,1.353247523×10^0
1.343700542×10^0,1.157446623×10^0,-1.023615956×10^0,1.334275961×10^0
1.353650542×10^0,6.251882911×10^-1,-1.355531216×10^0,1.225310922×10^0
1.363599542×10^0,2.937169075×10^-1,-2.047715425×10^0,8.349904418×10^-1
1.373549542×10^0,1.727284491×10^-1,-2.155358553×10^0,4.046994746×10^-1
1.383499542×10^0,1.408966035×10^-1,-1.994120359×10^0,3.099473417×10^-1
1.393448542×10^0,1.883410811×10^-1,-2.044063330×10^0,3.447042406×10^-1
1.403398542×10^0,3.714368045×10^-1,-2.216070890×10^0,2.729466856×10^-1
1.413348542×10^0,5.114937425×10^-1,-2.181689739×10^0,2.205260694×10^-1
1.423297542×10^0,4.625245929×10^-1,-1.930059910×10^0,4.566912651×10^-1
1.433247542×10^0,3.334459662×10^-1,-1.816646576×10^0,8.612256646×10^-1
1.443197542×10^0,2.581601441×10^-1,-1.973710775×10^0,1.230015278×10^0
1.453146542×10^0,3.336200118×10^-1,-2.293937206×10^0,1.480087519×10^0
1.463096542×10^0,3.718653023×10^-1,-2.818859816×10^0,1.620224357×10^0
1.473046542×10^0,3.464947045×10^-1,-3.340930462×10^0,1.683500886×10^0
1.482995542×10^0,3.458819985×10^-1,-3.957594633×10^0,1.715201855×10^0
1.492945542×10^0,2.865952253×10^-1,-4.645227909×10^0,1.720747590×10^0
1.502895292×10^0,1.184272394×10^-1,-5.432544231×10^0,1.629276752×10^0
1.512844292×10^0,-1.738674641×10^-1,-6.333003044×10^0,1.511178136×10^0
1.522794292×10^0,-5.053671598×10^-1,-6.866999149×10^0,1.305079579×10^0
1.532743292×10^0,-6.293586493×10^-1,-6.013477802×10^0,6.752105355×10^-1
1.542693292×10^0,-4.583153427×10^-1,-3.756166458×10^0,-3.324708045×10^-1
1.552643292×10^0,-1.620901562×10^-2,-1.541570902×10^0,-8.870738149×10^-1
1.562592292×10^0,4.335083067×10^-1,-3.441286087×10^-1,-8.149497509×10^-1
1.572542292×10^0,5.973060131×10^-1,1.365190744×10^-2,-8.444783688×10^-1
1.582492292×10^0,5.358318090×10^-1,-3.227138519×10^-1,-9.449167252×10^-1
1.592441292×10^0,4.454446137×10^-1,-9.707275033×10^-1,-9.913465381×10^-1
1.602391292×10^0,4.245457053×10^-1,-1.419269204×10^0,-9.820770025×10^-1
1.612341292×10^0,3.734689355×10^-1,-1.203086495×10^0,-6.446397901×10^-1
1.622290292×10^0,2.783963084×10^-1,-5.118737817×10^-1,-1.057647839×10^-1
1.632240292×10^0,2.317598164×10^-1,7.798975706×10^-2,2.923543751×10^-1
1.642190292×10^0,2.380161434×10^-1,3.565014303×10^-1,4.963587821×10^-1
