"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.289841667×10^-1,3.253403902×10^-1,1.062012553×10^0,-4.353376925×10^-1
9.389341667×10^-1,2.962789237×10^-1,8.674044013×10^-1,-4.231383801×10^-1
9.488831667×10^-1,2.980746925×10^-1,8.171529770×10^-1,-3.912312984×10^-1
9.588331667×10^-1,3.596247733×10^-1,7.737392783×10^-1,-3.590039611×10^-1
9.687831667×10^-1,5.810522437×10^-1,5.834439397×10^-1,-3.443626761×10^-1
9.787331667×10^-1,8.724530339×10^-1,4.889952242×10^-1,-2.741039693×10^-1
9.886831667×10^-1,9.746319056×10^-1,8.182526827×10^-1,-1.554185897×10^-1
9.986331667×10^-1,9.528386593×10^-1,9.393283725×10^-1,-8.327519894×10^-2
1.008582167×10^0,7.430835366×10^-1,9.834687114×10^-1,-5.175428838×10^-2
1.018532167×10^0,4.801595211×10^-1,8.844267130×10^-1,-9.791416675×10^-2
1.028482167×10^0,3.206436336×10^-1,9.101043344×10^-1,-2.091549337×10^-1
1.038432167×10^0,3.396466374×10^-1,1.206746221×10^0,-2.791701257×10^-1
1.048382167×10^0,6.785697937×10^-1,2.004523754×10^0,-2.844445109×10^-1
1.058332167×10^0,1.252913833×10^0,3.100870848×10^0,-2.362696081×10^-1
1.068282167×10^0,1.769410729×10^0,3.609333038×10^0,-1.404131204×10^-1
1.078231167×10^0,1.894154787×10^0,2.781996012×10^0,6.507596001×10^-3
1.088181167×10^0,1.482311249×10^0,1.568401217×10^0,6.940080971×10^-2
1.098131167×10^0,9.030650258×10^-1,6.032032371×10^-1,-4.979388788×10^-2
1.108081167×10^0,3.040421009×10^-1,-2.660051584×10^-1,-2.071326524×10^-1
1.118031167×10^0,-1.172793880×10^-1,-1.033061743×10^0,-1.950286031×10^-1
1.127981167×10^0,-2.789034247×10^-1,-1.453839660×10^0,-8.215479553×10^-2
1.137930167×10^0,-2.330627143×10^-1,-1.483068824×10^0,3.992716968×10^-2
1.147880167×10^0,-9.464678168×10^-2,-1.283227682×10^0,1.102173105×10^-1
1.157830167×10^0,4.928138480×10^-2,-1.063179374×10^0,1.172839999×10^-1
1.167780167×10^0,1.352301091×10^-1,-9.481185675×10^-1,8.554471284×10^-2
1.177730167×10^0,1.533950567×10^-1,-9.658052921×10^-1,5.759104341×10^-2
1.187680167×10^0,9.456131607×10^-2,-1.093632579×10^0,2.719958127×10^-2
1.197630167×10^0,1.300006360×10^-2,-1.226229191×10^0,5.184901878×10^-2
1.207579167×10^0,-3.407583758×10^-2,-1.217431426×10^0,1.574867666×10^-1
1.217529167×10^0,6.632380188×10^-2,-1.042235851×10^0,2.621861994×10^-1
1.227479167×10^0,2.959934771×10^-1,-2.107096016×10^-1,4.107874036×10^-1
1.237429167×10^0,5.467095375×10^-1,2.634949237×10^-2,6.458765268×10^-1
1.247379167×10^0,6.064375639×10^-1,-1.925234683×10^-2,9.681235552×10^-1
1.257329167×10^0,3.745712340×10^-1,-3.631004393×10^-1,1.192905545×10^0
1.267278167×10^0,2.848645151×10^-1,-6.565938592×10^-1,1.271945596×10^0
1.277228167×10^0,4.001149833×10^-1,-8.402659893×10^-1,1.218166709×10^0
1.287178167×10^0,4.710099399×10^-1,-6.632475257×10^-1,1.218216300×10^0
1.297128167×10^0,3.956809342×10^-1,-1.084391549×10^-1,1.378818512×10^0
1.307078167×10^0,3.859039247×10^-1,3.980634511×10^-1,1.510380507×10^0
1.317027667×10^0,5.342329741×10^-1,6.276392341×10^-1,1.719380856×10^0
1.326977667×10^0,5.687717795×10^-1,8.304256201×10^-1,2.049397230×10^0
1.336926667×10^0,5.071477294×10^-1,1.125899673×10^0,2.362738371×10^0
1.346876667×10^0,5.085645318×10^-1,1.400738716×10^0,2.592825413×10^0
1.356826667×10^0,5.714341998×10^-1,1.419696450×10^0,2.641079664×10^0
1.366776667×10^0,8.097402453×10^-1,1.214255214×10^0,2.542155743×10^0
1.376726667×10^0,1.143407941×10^0,1.208418489×10^0,2.457031012×10^0
1.386676667×10^0,1.425871849×10^0,1.458811522×10^0,2.433997154×10^0
1.396625667×10^0,1.716068745×10^0,1.797112823×10^0,2.460859060×10^0
1.406575667×10^0,2.059673786×10^0,1.883578420×10^0,2.483559132×10^0
1.416525667×10^0,2.255181074×10^0,1.427008390×10^0,2.632825613×10^0
1.426475667×10^0,1.862830043×10^0,4.297415614×10^-1,2.855239153×10^0
1.436425667×10^0,7.738699317×10^-1,-2.808575332×10^-1,3.151280165×10^0
1.446375667×10^0,-3.875390887×10^-1,-1.004712939×10^0,3.335724592×10^0
1.456325667×10^0,-1.048890829×10^0,-1.452604413×10^0,3.272861719×10^0
1.466274667×10^0,-1.179517865×10^0,-1.458732843×10^0,2.953302622×10^0
1.476224667×10^0,-8.646017909×10^-1,-1.208112478×10^0,2.447231293×10^0
1.486174667×10^0,-3.995030820×10^-1,-1.098674059×10^0,2.111918211×10^0
1.496124667×10^0,-1.656521261×10^-1,-1.318377733×10^0,2.021121502×10^0
1.506074667×10^0,-2.612644136×10^-1,-1.643517733×10^0,2.041825533×10^0
1.516024667×10^0,-5.312057734×10^-1,-1.839829683×10^0,2.014315605×10^0
1.525973667×10^0,-8.558434844×10^-1,-1.852278948×10^0,1.939222336×10^0
1.535923667×10^0,-1.091333628×10^0,-1.620361567×10^0,1.857736707×10^0
1.545873667×10^0,-9.856260419×10^-1,-6.874538064×10^-1,1.100475311×10^0
1.555823667×10^0,-5.417826772×10^-1,2.189035177×10^0,-6.114029884×10^-1
