"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.093168292×10^0,-2.854713593×10^0,7.329059143×10^0,3.497476959×10^0
1.103118292×10^0,-1.950294342×10^0,8.202941895×10^0,4.789140930×10^0
1.113068292×10^0,-1.814676361×10^0,9.463620300×10^0,6.031407623×10^0
1.123018292×10^0,-1.953138428×10^0,9.633966064×10^0,5.789959717×10^0
1.132968292×10^0,-1.920057220×10^0,9.729317780×10^0,6.056405640×10^0
1.142918292×10^0,-2.171534271×10^0,9.452094269×10^0,5.362598419×10^0
1.152868292×10^0,-3.739224243×10^0,8.725056152×10^0,4.840334473×10^0
1.162818292×10^0,-3.962559814×10^0,9.642049255×10^0,3.735931091×10^0
1.172768292×10^0,-3.155288544×10^0,9.369017029×10^0,3.356619873×10^0
1.182718292×10^0,-2.843786316×10^0,8.677904205×10^0,3.848497009×10^0
1.192668292×10^0,-2.816692657×10^0,7.675289154×10^0,4.126468964×10^0
1.202618292×10^0,-3.141966248×10^0,5.849984894×10^0,3.242557068×10^0
1.212568292×10^0,-3.262914734×10^0,4.639003143×10^0,2.573897552×10^0
1.222518292×10^0,-3.182082825×10^0,5.255121918×10^0,2.704426117×10^0
1.232468292×10^0,-2.987337799×10^0,6.078260193×10^0,3.212619324×10^0
1.242418292×10^0,-2.620001678×10^0,6.812183990×10^0,3.876638489×10^0
1.252368292×10^0,-2.193089447×10^0,7.594756622×10^0,5.132077789×10^0
1.262318292×10^0,-1.676962738×10^0,8.235424347×10^0,5.501509552×10^0
1.272268292×10^0,-1.563648376×10^0,8.713679810×10^0,5.588179321×10^0
1.282219292×10^0,-1.470092926×10^0,8.997040558×10^0,5.773643646×10^0
1.292169292×10^0,-1.887125702×10^0,8.934919739×10^0,4.843777313×10^0
1.302119292×10^0,-2.541115723×10^0,8.992400208×10^0,3.802692261×10^0
1.312069292×10^0,-3.015179901×10^0,9.654473419×10^0,2.729124756×10^0
1.322019292×10^0,-2.402503967×10^0,1.111319000×10^1,2.829416199×10^0
1.331969292×10^0,-1.441801758×10^0,1.276081375×10^1,5.008285217×10^0
1.341919292×10^0,-1.115180969×10^0,1.153665939×10^1,5.048252106×10^0
1.351869292×10^0,-1.407972107×10^0,1.039692947×10^1,3.852089539×10^0
1.361819292×10^0,-2.041005707×10^0,1.026595184×10^1,2.331701202×10^0
1.371769292×10^0,-2.930605774×10^0,9.788295135×10^0,9.996212769×10^-1
1.381719292×10^0,-2.913391571×10^0,9.029073944×10^0,3.005749512×10^-1
1.391669292×10^0,-2.918031921×10^0,9.156309357×10^0,8.988807678×10^-1
1.401619292×10^0,-2.961890717×10^0,1.012748978×10^1,1.385668488×10^0
1.411569292×10^0,-2.893033905×10^0,1.070603668×10^1,1.778900757×10^0
1.421519292×10^0,-2.242037659×10^0,9.981992340×10^0,1.449136505×10^0
1.431469292×10^0,-2.026785278×10^0,1.011027557×10^1,1.228046265×10^0
1.441419292×10^0,-1.783690796×10^0,1.037791901×10^1,8.973838806×10^-1
1.451369292×10^0,-1.401385803×10^0,9.369316406×10^0,9.385482788×10^-1
1.461319292×10^0,-1.416803741×10^0,8.898695068×10^0,1.221909027×10^0
1.471269292×10^0,-2.225871277×10^0,9.193282471×10^0,1.610201569×10^0
1.481219292×10^0,-2.885699158×10^0,9.587861938×10^0,1.909579010×10^0
1.491169292×10^0,-3.288511505×10^0,9.714947662×10^0,2.464175720×10^0
1.501119292×10^0,-3.526366882×10^0,1.011072464×10^1,2.821632385×10^0
1.511069292×10^0,-3.146307220×10^0,1.074315948×10^1,3.468137970×10^0
1.521019292×10^0,-2.483485565×10^0,1.046279251×10^1,3.800297241×10^0
1.530969292×10^0,-2.019450531×10^0,1.004366409×10^1,3.096909943×10^0
1.540920292×10^0,-2.654729462×10^0,1.146720383×10^1,2.746788025×10^0
1.550870292×10^0,-1.140478363×10^0,9.870773621×10^0,1.329385529×10^0
1.560820292×10^0,-4.983137512×10^-1,9.077722778×10^0,5.116360474×10^-1
1.570770292×10^0,-1.032852173×10^-2,7.913743286×10^0,1.041384430×10^0
1.580720292×10^0,5.748046875×10^-2,7.155120850×10^0,2.510279846×10^-1
1.590670292×10^0,4.008663940×10^-1,6.726711731×10^0,1.052311707×10^-1
1.600620292×10^0,8.024812317×10^-1,6.330335999×10^0,6.816824341×10^-1
1.610570333×10^0,6.427633667×10^-1,7.121440887×10^0,1.815724182×10^0
1.620520333×10^0,1.302291870×10^-1,8.076903992×10^0,2.471211090×10^0
1.630470333×10^0,3.727249146×10^-2,8.298592987×10^0,2.285896454×10^0
1.640420333×10^0,-3.508703613×10^-1,7.929460602×10^0,1.828447723×10^0
1.650370333×10^0,-1.116079102×10^0,7.808063049×10^0,1.503174133×10^0
1.660320333×10^0,-1.521735535×10^0,8.029003601×10^0,1.202150116×10^0
1.670270333×10^0,-1.442400513×10^0,7.189100189×10^0,1.394051056×10^0
1.680220333×10^0,-1.766925659×10^0,6.092031555×10^0,1.145567780×10^0
1.690170333×10^0,-1.103056183×10^0,5.941744080×10^0,8.872050476×10^-1
1.700120333×10^0,-7.533833313×10^-1,6.312972107×10^0,1.192120972×10^0
1.710070333×10^0,-9.247769165×10^-1,6.710096283×10^0,9.490264893×10^-1
1.720020333×10^0,-1.396146698×10^0,6.702162781×10^0,9.331594849×10^-1
1.729970333×10^0,-2.138453064×10^0,6.904541931×10^0,6.153703308×10^-1
1.739920333×10^0,-2.920876007×10^0,6.230194244×10^0,5.514532471×10^-1
1.749870333×10^0,-3.983216858×10^0,5.387446747×10^0,-5.737568665×10^-1
1.759820333×10^0,-4.578977966×10^0,5.802533569×10^0,-4.388873291×10^-1
1.769770333×10^0,-4.860991516×10^0,6.372099152×10^0,2.207908630×10^-1
1.779720333×10^0,-5.605393524×10^0,7.300917664×10^0,1.224753113×10^0
1.789671333×10^0,-5.201982422×10^0,8.761131134×10^0,2.258503418×10^0
1.799621333×10^0,-4.983436890×10^0,1.161794037×10^1,2.721790009×10^0
1.809571333×10^0,-5.011428680×10^0,1.312410828×10^1,4.092040558×10^0
1.819521333×10^0,-2.943628693×10^0,1.325718155×10^1,2.536026306×10^0
1.829471333×10^0,-5.916746063×10^0,1.281006134×10^1,1.306782532×10^0
1.839421333×10^0,-8.053103485×10^0,1.337334000×10^1,2.535577240×10^0
1.849371333×10^0,-6.989116058×10^0,1.326765976×10^1,1.186432800×10^0
1.859321333×10^0,-6.127657471×10^0,1.258193573×10^1,-1.081501007×10^0
1.869271333×10^0,-5.737269287×10^0,1.160386963×10^1,-2.107916565×10^0
1.879221333×10^0,-5.186414795×10^0,1.059227325×10^1,-2.351160736×10^0
1.889171333×10^0,-4.230352936×10^0,1.019140686×10^1,-1.947599945×10^0
1.899121333×10^0,-3.820654907×10^0,9.364526367×10^0,-1.402733002×10^0
1.909071333×10^0,-3.962859192×10^0,8.333620148×10^0,-8.319699097×10^-1
1.919021333×10^0,-4.080364838×10^0,7.547754364×10^0,-1.416055298×10^-1
1.928971333×10^0,-3.967499542×10^0,7.015910339×10^0,4.547543335×10^-1
1.938921333×10^0,-3.813320160×10^0,7.146139526×10^0,6.131250000×10^-1
1.948871333×10^0,-3.263214111×10^0,8.253237305×10^0,3.466790771×10^-1
1.958821333×10^0,-2.821333008×10^0,9.538464661×10^0,-5.164260864×10^-2
1.968771333×10^0,-2.613265686×10^0,1.063523392×10^1,-1.874102783×10^-1
1.978721333×10^0,-2.554737396×10^0,1.141241776×10^1,-1.975891113×10^-1
1.988671333×10^0,-2.685265961×10^0,1.151749924×10^1,-3.159928894×10^-1
1.998621333×10^0,-2.975811768×10^0,1.067190765×10^1,-2.688409424×10^-1
2.008571333×10^0,-3.275338898×10^0,9.554032288×10^0,2.933898926×10^-2
2.018521333×10^0,-3.661236420×10^0,8.702303467×10^0,4.370910645×10^-2
2.028471333×10^0,-3.834725647×10^0,8.322094116×10^0,-3.466790771×10^-1
2.038421333×10^0,-3.899690552×10^0,8.428522797×10^0,-1.347048798×10^0
2.048372333×10^0,-5.010979614×10^0,8.848399658×10^0,-3.120111694×10^0
2.058322333×10^0,-6.165528717×10^0,8.388555908×10^0,-4.167034607×10^0
2.068272333×10^0,-4.296066284×10^0,7.183262329×10^0,-3.419938202×10^0
2.078222333×10^0,-3.444337463×10^0,6.328390045×10^0,-3.438050537×10^0
2.088172333×10^0,-2.725532227×10^0,6.210285645×10^0,-2.440674591×10^0
2.098122333×10^0,-2.519410858×10^0,6.656058655×10^0,2.665956116×10^-1
2.108072333×10^0,-1.786085815×10^0,7.503446503×10^0,1.607058105×10^0
2.118022333×10^0,-1.101409607×10^0,8.005203094×10^0,1.985620880×10^0
2.127972333×10^0,-1.934577026×10^0,7.646848297×10^0,1.596729584×10^0
2.137922333×10^0,-3.670816498×10^0,7.004084930×10^0,5.933660889×10^-1
2.147872333×10^0,-3.992347870×10^0,6.392007751×10^0,-7.670050049×10^-1
2.157822333×10^0,-4.168830872×10^0,6.382128296×10^0,-3.858975220×10^-1
2.167772333×10^0,-3.960613861×10^0,7.393874359×10^0,2.378104706×10^0
2.177722333×10^0,-4.146976318×10^0,7.708520050×10^0,2.849025421×10^0
2.187672333×10^0,-4.602479095×10^0,7.853568420×10^0,2.031425629×10^0
2.197622333×10^0,-3.663481750×10^0,1.342453354×10^1,6.221512299×10^0
2.207572333×10^0,-3.936064911×10^0,1.542123138×10^1,7.089557190×10^0
2.217522333×10^0,-1.994751892×10^0,1.075139236×10^1,2.865042114×10^0
2.227472333×10^0,-2.209405518×10^0,9.192234650×10^0,6.394702148×10^-1
2.237422333×10^0,-2.456541595×10^0,1.369397324×10^1,-8.870553589×10^-1
2.247372333×10^0,-2.409689026×10^0,1.348306183×10^1,-2.103725281×10^0
2.257322333×10^0,-1.964365082×10^0,9.781708832×10^0,-2.954555969×10^0
2.267273333×10^0,-2.439776459×10^0,1.061008621×10^1,-3.585194550×10^0
2.277223333×10^0,-2.330354004×10^0,1.063972458×10^1,-4.002526703×10^0
2.287173333×10^0,-1.504671021×10^0,8.777297516×10^0,-5.444627838×10^0
2.297123333×10^0,2.361489258×10^0,2.093845825×10^0,-8.039182434×10^0
2.307073333×10^0,3.703448639×10^0,3.964954834×10^0,3.064128113×10^-1
2.317023333×10^0,-4.929249573×10^0,1.805889633×10^1,2.542911987×10^0
2.326973333×10^0,-8.034093018×10^0,1.513727188×10^1,-8.384065247×10^-1
2.336923333×10^0,-5.323829041×10^0,1.074929672×10^1,2.183359680×10^0
2.346873333×10^0,-5.017416229×10^0,9.863738251×10^0,4.212390289×10^0
2.356823333×10^0,-5.461093597×10^0,1.096874039×10^1,4.653822327×10^0
2.366773333×10^0,-5.982309723×10^0,1.100571350×10^1,3.748654633×10^0
2.376723333×10^0,-4.397555237×10^0,1.030831375×10^1,2.821782074×10^0
2.386673333×10^0,-3.309916992×10^0,1.036190231×10^1,1.849553833×10^0
2.396623333×10^0,-3.661835175×10^0,1.092802505×10^1,1.320553894×10^0
2.406573333×10^0,-2.553839264×10^0,1.120255417×10^1,1.001118164×10^0
2.416523333×10^0,-1.466051331×10^0,1.145058838×10^1,-2.745291138×10^-1
2.426473333×10^0,-7.538323975×10^-1,1.052266800×10^1,-1.802102509×10^0
2.436423333×10^0,1.541793823×10^-1,9.835447083×10^0,-2.913541260×10^0
2.446374333×10^0,-3.936813354×10^-2,9.301806793×10^0,-2.758613434×10^0
2.456324333×10^0,-4.692741394×10^-1,8.907077637×10^0,-2.532882843×10^0
2.466274333×10^0,-1.451681213×10^0,8.461304626×10^0,-2.401456146×10^0
2.476224333×10^0,-3.411705322×10^0,9.449250183×10^0,-2.805466003×10^0
2.486174333×10^0,-2.950514374×10^0,1.011671219×10^1,-2.029629364×10^0
2.496124333×10^0,-3.066972198×10^0,1.036280045×10^1,-1.332828369×10^0
2.506074333×10^0,-3.235222321×10^0,1.059885956×10^1,-1.350940704×10^0
2.516024333×10^0,-2.717299347×10^0,1.042507095×10^1,-1.421294403×10^0
2.525974333×10^0,-2.080224152×10^0,1.030711624×10^1,-1.468446350×10^0
2.535924333×10^0,-6.027964783×10^-1,1.077354630×10^1,-1.893262939×10^0
2.545874333×10^0,9.131011963×10^-2,1.016640884×10^1,-1.942510529×10^0
2.555824333×10^0,-1.109193420×10^0,8.705297241×10^0,-1.234482880×10^0
2.565774333×10^0,-4.007167053×10^-1,9.473948822×10^0,-1.184786224×10^0
2.575724333×10^0,-3.128494263×10^-2,9.743987274×10^0,-1.262624359×10^0
2.585674333×10^0,-1.222956848×10^-1,9.607920227×10^0,-1.399439850×10^0
2.595624333×10^0,-1.487606506×10^0,8.752898254×10^0,-1.573078766×10^0
2.605573542×10^0,-2.351460114×10^0,7.754025421×10^0,-1.299447784×10^0
2.615523542×10^0,-1.606309662×10^0,6.798562317×10^0,-6.448590088×10^-1
2.625474542×10^0,-1.748364258×10^0,5.706882477×10^0,-4.782554626×10^-1
2.635424542×10^0,-1.496737518×10^0,4.703369293×10^0,-4.555027771×10^-1
2.645374542×10^0,-6.414161682×10^-1,4.196373596×10^0,-8.187973022×10^-1
2.655324542×10^0,-1.847158813×10^-1,3.893553314×10^0,-1.044527893×10^0
2.665274542×10^0,1.258882141×10^-1,3.574416962×10^0,-1.146914978×10^0
2.675224542×10^0,5.513035583×10^-1,2.828069000×10^0,-1.200802917×10^0
2.685174542×10^0,1.329086151×10^0,2.585124207×10^0,-7.756869507×10^-1
2.695124542×10^0,8.622070313×10^-1,2.654280396×10^0,3.412902832×10^-2
2.705074542×10^0,1.830693054×10^-1,3.056943054×10^0,7.137158203×10^-1
2.715024542×10^0,-3.308120728×10^-1,4.134103088×10^0,1.266665955×10^0
2.724974542×10^0,-9.136999512×10^-1,6.003415833×10^0,1.554068298×10^0
2.734924542×10^0,-1.693129120×10^0,8.619974670×10^0,1.491648102×10^0
2.744874542×10^0,-2.391127625×10^0,1.287038589×10^1,-6.936575317×10^-1
2.754824542×10^0,-3.028352509×10^0,2.218237152×10^1,-5.602998505×10^0
2.764774542×10^0,-6.643484802×10^0,3.941049545×10^1,-1.285826111×10^0
2.774724542×10^0,-9.622440033×10^0,5.243491104×10^1,6.157445526×10^0
2.784674542×10^0,-6.208788757×10^0,3.594056122×10^1,3.765120392×10^0
2.794624542×10^0,-8.408314819×10^0,2.197370544×10^1,2.216440887×10^0
2.804575542×10^0,-9.482181702×10^0,2.009092072×10^1,2.852917328×10^0
2.814525542×10^0,-7.815846863×10^0,2.081975510×10^1,2.251617737×10^0
2.824475542×10^0,-6.897506561×10^0,2.065749252×10^1,-7.379653931×10^-2
2.834425542×10^0,-5.896538086×10^0,1.928170349×10^1,-2.632874908×10^0
2.844375542×10^0,-4.211192780×10^0,1.697260529×10^1,-4.396357727×10^0
2.854325542×10^0,-2.108215942×10^0,1.422551788×10^1,-4.921166382×10^0
2.864275542×10^0,-2.351609802×10^-1,1.155417297×10^1,-4.544549561×10^0
2.874225542×10^0,1.143023071×10^0,9.419611816×10^0,-4.128414917×10^0
2.884175542×10^0,1.721719666×10^0,7.488178253×10^0,-3.740272064×10^0
2.894125542×10^0,1.700912933×10^0,6.063740387×10^0,-2.990930328×10^0
2.904075542×10^0,1.723665619×10^0,4.552183685×10^0,-2.571352844×10^0
2.914025542×10^0,2.042203217×10^0,3.123404846×10^0,-2.247127075×10^0
2.923975542×10^0,2.407144318×10^0,1.837578735×10^0,-1.836979980×10^0
2.933925542×10^0,2.778821411×10^0,7.027885437×10^-1,-1.552571411×10^0
2.943875542×10^0,3.303630066×10^0,-4.137396240×10^-1,-7.842192078×10^-1
2.953825542×10^0,3.191213837×10^0,-1.900298309×10^0,-2.544708252×10^-2
2.963775542×10^0,2.907254333×10^0,-3.643872528×10^0,4.584965515×10^-1
2.973726542×10^0,2.404000854×10^0,-5.300477600×10^0,8.801696777×10^-1
2.983676542×10^0,1.729653168×10^0,-6.674320679×10^0,1.336869965×10^0
2.993626542×10^0,6.593788147×10^-1,-7.462581482×10^0,1.855391693×10^0
3.003576542×10^0,7.963439941×10^-2,-6.741081848×10^0,2.321672058×10^0
3.013526542×10^0,1.348695374×10^-1,-5.933211823×10^0,2.475252686×10^0
3.023476542×10^0,1.417552185×10^-1,-5.317392426×10^0,2.274220734×10^0
3.033426542×10^0,-5.523513794×10^-2,-4.627776489×10^0,1.725461884×10^0
3.043376542×10^0,-7.420069885×10^-1,-4.033811646×10^0,1.188827820×10^0
3.053326542×10^0,-1.282832336×10^0,-3.519481201×10^0,9.309141541×10^-1
3.063276542×10^0,-1.736239471×10^0,-2.833158417×10^0,8.849597168×10^-1
3.073226542×10^0,-2.077529755×10^0,-2.139650574×10^0,7.568261719×10^-1
3.083176542×10^0,-2.411185913×10^0,-1.454674988×10^0,3.317102051×10^-1
3.093126542×10^0,-2.583477631×10^0,-7.436535645×10^-1,-2.008822632×10^-1
3.103076542×10^0,-2.350262604×10^0,2.260299683×10^-2,-7.060816956×10^-1
3.113026542×10^0,-1.651365967×10^0,8.147557068×10^-1,-1.242266693×10^0
3.122976542×10^0,-4.056564331×10^-1,1.954635315×10^0,-1.719624023×10^0
3.132926542×10^0,6.703060913×10^-1,3.546125793×10^0,-2.536625061×10^0
3.142876542×10^0,8.896000671×10^-1,6.082002411×10^0,-3.823498993×10^0
3.152826542×10^0,9.577084351×10^-1,1.210427902×10^1,-9.793683929×10^0
3.162777542×10^0,1.251697083×10^0,3.557666794×10^1,-1.691647202×10^1
3.172727542×10^0,-3.406166840×10^0,7.255981110×10^1,5.631139984×10^0
