"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.079487292×10^0,3.922489583×10^-1,-1.304401308×10^-1,-7.919918895×10^-1
1.089437292×10^0,4.092659056×10^-1,-1.198330298×10^-1,-8.365317583×10^-1
1.099387292×10^0,5.628163218×10^-1,-3.351309597×10^-1,-8.831219077×10^-1
1.109337292×10^0,6.499068141×10^-1,-5.551549196×10^-1,-7.937483788×10^-1
1.119287292×10^0,6.462897658×10^-1,-4.278854430×10^-1,-6.485981345×10^-1
1.129237292×10^0,7.019101381×10^-1,-3.640684858×10^-2,-5.797267556×10^-1
1.139187292×10^0,8.041374087×10^-1,2.682398558×10^-1,-5.240115523×10^-1
1.149137292×10^0,8.809693456×10^-1,2.709192336×10^-1,-3.555803299×10^-1
1.159087292×10^0,8.342985511×10^-1,-1.355606318×10^-1,-2.601611316×10^-1
1.169037292×10^0,7.792883515×10^-1,-6.329755783×10^-1,-2.221781313×10^-1
1.178987292×10^0,7.327703834×10^-1,-8.225497603×10^-1,-3.116912246×10^-1
1.188937292×10^0,7.066817284×10^-1,-7.199667096×10^-1,-3.967411518×10^-1
1.198887292×10^0,6.195356250×10^-1,-4.461796284×10^-1,-4.759837687×10^-1
1.208837292×10^0,5.235381722×10^-1,-4.188624322×10^-1,-5.539072752×10^-1
1.218787292×10^0,4.964359999×10^-1,-6.512192488×10^-1,-6.319858432×10^-1
1.228737292×10^0,5.345150828×10^-1,-8.883494735×10^-1,-7.098965645×10^-1
1.238687292×10^0,6.269153357×10^-1,-1.121983051×10^0,-7.924380302×10^-1
1.248637292×10^0,8.059409261×10^-1,-1.523936391×10^0,-7.691813707×10^-1
1.258587292×10^0,9.496485591×10^-1,-1.735230803×10^0,-7.236181498×10^-1
1.268537292×10^0,1.092919707×10^0,-1.670701027×10^0,-5.957936645×10^-1
1.278487292×10^0,1.273080587×10^0,-1.482175589×10^0,-5.228872299×10^-1
1.288438292×10^0,1.376414299×10^0,-1.103540421×10^0,-4.921438396×10^-1
1.298388292×10^0,1.439652443×10^0,-7.256448269×10^-1,-4.499766827×10^-1
1.308338292×10^0,1.443024874×10^0,-5.614523292×10^-1,-3.423545361×10^-1
1.318288292×10^0,1.242833972×10^0,-2.803607583×10^-1,-2.343010455×10^-1
1.328238292×10^0,1.220986247×10^0,-5.265217647×10^-2,-1.822350025×10^-1
1.338188292×10^0,1.395784497×10^0,-1.233974472×10^-1,-2.733526528×10^-1
1.348138292×10^0,1.440502882×10^0,-1.602392197×10^-1,-2.361512631×10^-1
