"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.738457083×10^0,-1.488055573×10^0,9.333391113×10^0,6.155200195×10^-1
1.748407083×10^0,-9.382489014×10^-1,9.507628784×10^0,6.402186584×10^-1
1.758356083×10^0,2.928210754×10^0,1.226384720×10^1,1.999541931×10^0
1.768306083×10^0,4.334685974×10^0,1.009560608×10^1,1.611249390×10^0
1.778256083×10^0,5.677693176×10^-1,9.722132721×10^0,1.237476654×10^0
1.788206083×10^0,-4.682263184×10^-1,9.747729492×10^0,1.687141571×10^0
1.798156083×10^0,-4.833448792×10^-1,9.682764587×10^0,1.369202728×10^0
1.808106083×10^0,3.053649902×10^-1,9.806257782×10^0,9.894424438×10^-1
1.818056083×10^0,-8.981323242×10^-2,9.747729492×10^0,1.314266968×10^0
1.828006083×10^0,-2.582130432×10^-1,9.751172333×10^0,1.087039490×10^0
1.837956083×10^0,6.511459351×10^-2,9.817185059×10^0,7.346722412×10^-1
1.847906083×10^0,-2.323168945×10^-1,9.747280426×10^0,1.016536102×10^0
1.857855083×10^0,8.681945801×10^-3,9.777517548×10^0,1.279688873×10^0
1.867805083×10^0,2.046244812×10^-1,9.786049805×10^0,1.204545135×10^0
1.877755083×10^0,-8.547225952×10^-2,9.758956146×10^0,1.096469879×10^0
1.887705083×10^0,-4.011657715×10^-2,9.779912567×10^0,1.088386688×10^0
1.897655083×10^0,1.008901978×10^-1,9.766739960×10^0,1.110540619×10^0
1.907605083×10^0,1.002914429×10^-2,9.793534241×10^0,1.251397705×10^0
1.917555125×10^0,1.486408997×10^-1,9.798174591×10^0,7.271878052×10^-1
1.927505125×10^0,2.805166626×10^-1,9.780810699×10^0,7.822732544×10^-1
1.937455125×10^0,8.457412720×10^-2,9.786798248×10^0,8.352630615×10^-1
1.947405125×10^0,3.188369751×10^-2,9.800719299×10^0,6.209088135×10^-1
1.957354125×10^0,1.242416382×10^-2,9.800270233×10^0,4.412823486×10^-1
1.967304125×10^0,-5.882766724×10^-2,9.795629883×10^0,5.056484985×10^-1
1.977254125×10^0,-1.800755310×10^-1,9.814640350×10^0,3.962260437×10^-1
1.987204125×10^0,-1.648072815×10^-1,9.808802490×10^0,4.185296631×10^-1
1.997154125×10^0,-1.062789917×10^-1,9.801767120×10^0,5.499563599×10^-1
2.007104125×10^0,-6.885681152×10^-3,9.795330505×10^0,8.159532166×10^-1
2.017054125×10^0,1.038839722×10^-1,9.796827393×10^0,8.842112732×10^-1
2.027004125×10^0,2.112107849×10^-1,9.803862762×10^0,1.109492798×10^0
2.036954125×10^0,6.930587769×10^-2,9.777517548×10^0,1.220561829×10^0
2.046904125×10^0,-1.362167358×10^-2,9.770781555×10^0,1.107696533×10^0
2.056853125×10^0,-4.445755005×10^-2,9.780810699×10^0,8.644523621×10^-1
2.066803125×10^0,-8.367599487×10^-2,9.789941711×10^0,7.738906860×10^-1
2.076753125×10^0,-8.696914673×10^-2,9.777367859×10^0,7.719447327×10^-1
2.086703125×10^0,-6.197113037×10^-2,9.805060272×10^0,7.906558228×10^-1
2.096653125×10^0,-5.313949585×10^-2,9.785900116×10^0,9.515711975×10^-1
2.106603125×10^0,4.550537109×10^-2,9.794582062×10^0,1.000220032×10^0
2.116553125×10^0,-4.026626587×10^-2,9.796078949×10^0,7.616162109×10^-1
2.126503125×10^0,-2.963836670×10^-2,9.791737976×10^0,7.159611511×10^-1
2.136453125×10^0,6.765930176×10^-2,9.796827393×10^0,7.622149658×10^-1
2.146403125×10^0,3.891906738×10^-2,9.786049805×10^0,8.120613098×10^-1
2.156352125×10^0,2.020797729×10^-2,9.780361633×10^0,8.228388977×10^-1
2.166302125×10^0,1.026864624×10^-1,9.793534241×10^0,8.099656677×10^-1
2.176252125×10^0,1.077758789×10^-1,9.801318054×10^0,7.511380005×10^-1
2.186202125×10^0,4.565505981×10^-2,9.766739960×10^0,8.405021667×10^-1
2.196152125×10^0,1.836680603×10^-1,9.809700623×10^0,7.873626709×10^-1
2.206102125×10^0,2.275268555×10^-2,9.800719299×10^0,9.400451660×10^-1
