"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.552769583×10^-1,-9.655533358×10^-3,4.617491961×10^-1,4.397258162×10^-2
9.652269583×10^-1,2.168045030×10^-4,4.481689334×10^-1,2.344786748×10^-2
9.751769583×10^-1,-1.941866614×10^-2,4.354549348×10^-1,-3.685525153×10^-3
9.851269583×10^-1,-5.543499067×10^-2,4.377577603×10^-1,-1.670412160×10^-2
9.950769583×10^-1,-9.294508398×10^-2,4.579657614×10^-1,-1.815312728×10^-2
1.005027958×10^0,-1.202994809×10^-1,4.890845120×10^-1,-8.163344115×10^-3
1.014977958×10^0,-1.260996163×10^-1,5.191436410×10^-1,1.112390496×10^-2
1.024927958×10^0,-1.238894612×10^-1,5.451334715×10^-1,4.402779415×10^-2
1.034877958×10^0,-1.065507010×10^-1,5.321385264×10^-1,7.077478617×10^-2
1.044827958×10^0,-7.149924338×10^-2,5.269395113×10^-1,8.571298420×10^-2
1.054777958×10^0,-2.649877965×10^-2,5.098513961×10^-1,1.036484167×10^-1
1.064728958×10^0,2.429942042×10^-2,4.836682379×10^-1,1.091619581×10^-1
1.074678958×10^0,7.013625652×10^-2,4.503463805×10^-1,8.861722052×10^-2
1.084628958×10^0,8.910408616×10^-2,4.438296258×10^-1,4.392378405×10^-2
1.094578958×10^0,6.891944259×10^-2,4.737103581×10^-1,-6.636020727×10^-3
1.104528958×10^0,1.937133260×10^-2,5.251828432×10^-1,-4.550752044×10^-2
1.114478958×10^0,-5.063194409×10^-2,5.713920593×10^-1,-6.680416316×10^-2
1.124429958×10^0,-1.041377783×10^-1,6.052914262×10^-1,-6.600414962×10^-2
1.134379708×10^0,-1.288635433×10^-1,6.276077032×10^-1,-3.761215508×10^-2
1.144329708×10^0,-1.134307981×10^-1,5.821893215×10^-1,5.533399526×10^-4
1.154279708×10^0,-4.938301072×10^-2,5.156736970×10^-1,2.453348041×10^-2
1.164229708×10^0,3.710288182×10^-2,4.306989312×10^-1,6.028082967×10^-2
1.174179708×10^0,1.380110532×10^-1,3.510436714×10^-1,1.092347056×10^-1
1.184130708×10^0,2.316142470×10^-1,3.110970557×10^-1,1.380583644×10^-1
1.194080708×10^0,2.783265710×10^-1,3.037436604×10^-1,1.478956938×10^-1
1.204030708×10^0,2.587403655×10^-1,3.338924944×10^-1,1.327130198×10^-1
1.213980708×10^0,1.906317472×10^-1,3.921687007×10^-1,1.036236882×10^-1
1.223930708×10^0,1.085717678×10^-1,4.770257771×10^-1,7.698275149×10^-2
1.233880708×10^0,4.531863332×10^-2,5.670570135×10^-1,5.398780107×10^-2
1.243831708×10^0,8.870080113×10^-3,6.287190318×10^-1,3.828660399×10^-2
1.253781708×10^0,-3.561881604×10^-4,6.525418758×10^-1,4.592885077×10^-2
1.263731708×10^0,1.829073392×10^-2,6.336923242×10^-1,6.397522986×10^-2
1.273681708×10^0,4.203690588×10^-2,5.744742751×10^-1,9.157700092×10^-2
1.283631708×10^0,5.335747078×10^-2,5.176919699×10^-1,1.224768609×10^-1
1.293581708×10^0,5.678539351×10^-2,4.810965955×10^-1,1.413922608×10^-1
1.303532708×10^0,6.337778270×10^-2,4.795663655×10^-1,1.491907984×10^-1
1.313482708×10^0,7.547342777×10^-2,4.750973582×10^-1,1.595528573×10^-1
1.323432708×10^0,9.683410823×10^-2,4.839409292×10^-1,1.765827090×10^-1
