"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.671589625×10^0,-2.072739716×10^0,4.225263519×10^0,2.533481598×10^0
1.681539625×10^0,-1.311123505×10^0,4.120481415×10^0,2.414329376×10^0
1.691489625×10^0,-5.837860107×10^-1,6.044729919×10^0,9.942324829×10^-1
1.701439625×10^0,5.014572144×10^-1,6.760691071×10^0,-5.987548828×10^-4
1.711389625×10^0,1.298549652×10^0,7.080875244×10^0,-4.522096252×10^-1
1.721339625×10^0,1.539398804×10^0,7.962392120×10^0,-1.792223053×10^0
1.731289625×10^0,1.252295837×10^0,8.819060669×10^0,-3.057691498×10^0
1.741239625×10^0,1.846859436×10^0,9.327253876×10^0,-4.731061707×10^0
1.751189625×10^0,3.425177307×10^0,8.939410400×10^0,-5.811814270×10^0
1.761139625×10^0,5.161865845×10^0,8.012088776×10^0,-6.537505188×10^0
1.771089625×10^0,6.416556702×10^0,6.741830292×10^0,-6.730453949×10^0
1.781039625×10^0,6.016887817×10^0,5.409450989×10^0,-6.869963837×10^0
1.790989625×10^0,4.250261536×10^0,4.861739960×10^0,-7.319479065×10^0
1.800939625×10^0,2.174827423×10^0,4.883594513×10^0,-7.314090271×10^0
1.810890625×10^0,8.161029053×10^-1,4.948409729×10^0,-6.693480835×10^0
1.820840625×10^0,-8.622070312×10^-2,5.396428070×10^0,-5.470673676×10^0
1.830790625×10^0,-5.433700562×10^-2,5.531596985×10^0,-4.108356628×10^0
1.840740625×10^0,6.825805664×10^-2,5.727838898×10^0,-3.453767853×10^0
1.850690625×10^0,-3.156935120×10^-1,6.388864288×10^0,-3.484154663×10^0
1.860640625×10^0,-7.002438354×10^-1,7.307953033×10^0,-4.264931030×10^0
1.870590625×10^0,-1.165476379×10^0,8.566685486×10^0,-5.224884796×10^0
1.880540625×10^0,-1.936972046×10^0,9.922266541×10^0,-6.063590698×10^0
1.890490625×10^0,-2.568059692×10^0,1.129236740×10^1,-6.569538574×10^0
1.900440625×10^0,-2.295476532×10^0,1.246218475×10^1,-6.884783020×10^0
1.910390625×10^0,-1.654060364×10^0,1.293729675×10^1,-6.893614655×10^0
1.920340625×10^0,-9.340576172×10^-1,1.283940033×10^1,-6.745572510×10^0
1.930290625×10^0,-3.867956543×10^-1,1.224348953×10^1,-6.664590912×10^0
1.940241625×10^0,-2.061213684×10^-1,1.081291443×10^1,-6.462361450×10^0
1.950191625×10^0,-3.007246399×10^-1,8.927734680×10^0,-6.216123505×10^0
1.960141625×10^0,-4.340972900×10^-2,7.557933197×10^0,-6.637646942×10^0
1.970091625×10^0,3.043171692×10^-1,6.966363373×10^0,-7.514822845×10^0
1.980041625×10^0,3.568579102×10^-1,7.188202057×10^0,-7.944579163×10^0
1.989991625×10^0,4.137396240×10^-1,8.452472992×10^0,-7.099436646×10^0
1.999941625×10^0,6.523434448×10^-1,1.083925964×10^1,-6.126459961×10^0
2.009891625×10^0,1.445543976×10^0,1.318907318×10^1,-4.819378052×10^0
2.019841625×10^0,3.162174225×10^0,1.321077805×10^1,-1.767674103×10^0
2.029791625×10^0,4.744084625×10^0,1.132739456×10^1,1.719025269×10^0
2.039741625×10^0,6.146967316×10^0,1.073432785×10^1,3.640579376×10^0
2.049691625×10^0,7.170688477×10^0,1.141151962×10^1,4.187092896×10^0
2.059641625×10^0,6.825955353×10^0,1.161809006×10^1,3.751947784×10^0
2.069591625×10^0,5.156177673×10^0,1.117695740×10^1,2.353555756×10^0
2.079541625×10^0,3.101250916×10^0,1.051802765×10^1,9.030720520×10^-1
2.089492625×10^0,1.063538361×10^0,9.336085510×10^0,9.205856323×10^-2
2.099442625×10^0,-2.662962341×10^-1,7.969876556×10^0,-6.462062073×10^-1
2.109392625×10^0,-8.996292114×10^-1,6.982679443×10^0,-6.137237549×10^-1
2.119342625×10^0,-1.392254791×10^0,6.529721375×10^0,-6.002517700×10^-2
2.129292625×10^0,-1.799408112×10^0,6.498885498×10^0,8.943901062×10^-1
2.139242625×10^0,-2.108066254×10^0,7.150630188×10^0,2.131268005×10^0
2.149192625×10^0,-1.757046204×10^0,8.207133179×10^0,2.454146576×10^0
2.159142625×10^0,-7.388635254×10^-1,9.488169250×10^0,2.732417908×10^0
2.169092625×10^0,6.047424316×10^-2,1.109253296×10^1,1.884431305×10^0
2.179042625×10^0,9.208850098×10^-1,1.219663696×10^1,5.748046875×10^-1
2.188992625×10^0,2.318229218×10^0,1.271485931×10^1,-5.390290833×10^-1
2.198942625×10^0,4.259093170×10^0,1.307216629×10^1,-1.515897675×10^0
2.208892625×10^0,4.043840790×10^0,1.207299408×10^1,-2.886148224×10^0
2.218843625×10^0,1.787882080×10^0,9.763746185×10^0,-3.565435638×10^0
2.228793625×10^0,2.490820312×10^-1,7.787256317×10^0,-3.162323914×10^0
2.238743625×10^0,-5.917195129×10^-1,6.689738617×10^0,-1.943258972×10^0
2.248693625×10^0,-7.662565613×10^-1,6.636150055×10^0,-1.333726501×10^-1
2.258643625×10^0,-2.287243652×10^-1,7.147337036×10^0,1.813478851×10^0
2.268593625×10^0,-4.176315308×10^-2,7.151228943×10^0,2.844983826×10^0
2.278543625×10^0,8.831634521×10^-2,6.893764343×10^0,1.981429596×10^0
2.288493625×10^0,6.563850403×10^-1,6.990612946×10^0,9.598040771×10^-1
2.298443625×10^0,7.960446167×10^-1,7.265591125×10^0,5.222639465×10^-1
2.308393625×10^0,8.250842285×10^-1,7.465275879×10^0,6.807843018×10^-1
2.318343625×10^0,1.396146698×10^0,7.791297913×10^0,9.187893677×10^-1
2.328293625×10^0,1.863923950×10^0,8.397237854×10^0,1.235231323×10^0
2.338243625×10^0,2.105072479×10^0,8.767418060×10^0,1.514849854×10^0
2.348193625×10^0,2.173929291×10^0,9.021589508×10^0,1.214574280×10^0
2.358144625×10^0,2.080074463×10^0,9.551936646×10^0,-5.792953491×10^-2
2.368094625×10^0,2.115550690×10^0,1.044842239×10^1,-1.712139587×10^0
2.378044625×10^0,2.303260345×10^0,1.132380203×10^1,-2.875670013×10^0
2.387994625×10^0,1.960173798×10^0,1.153156998×10^1,-2.212698669×10^0
2.397944625×10^0,1.360071716×10^0,1.143023071×10^1,-2.130070496×10^-1
2.407894625×10^0,8.749305725×10^-1,1.145657593×10^1,1.633702698×10^0
2.417844625×10^0,5.903723145×10^-1,1.166943329×10^1,2.429447937×10^0
2.427794625×10^0,5.321434021×10^-1,1.195234497×10^1,1.742975464×10^0
2.437744625×10^0,4.475692749×10^-1,1.215382599×10^1,-1.824705505×10^-1
2.447694625×10^0,3.740721130×10^-1,1.247775238×10^1,-1.911524963×10^0
2.457644625×10^0,4.827461243×10^-1,1.274898834×10^1,-2.209704895×10^0
2.467594625×10^0,5.643264771×10^-1,1.276650192×10^1,-1.482666779×10^0
2.477544625×10^0,3.598516846×10^-1,1.282278488×10^1,-4.837939453×10^-1
2.487494625×10^0,2.245330811×10^-2,1.308653641×10^1,7.514373779×10^-2
2.497445625×10^0,-2.896476746×10^-1,1.377016479×10^1,5.764512634×10^-1
2.507395625×10^0,-2.483335876×10^-1,1.466290833×10^1,8.479866028×10^-1
2.517345625×10^0,1.212478638×10^-2,1.474942841×10^1,5.017565918×10^-1
2.527295625×10^0,4.358935547×10^-1,1.453013443×10^1,6.084846497×10^-1
2.537245625×10^0,8.078700256×10^-1,1.399065628×10^1,9.330097961×10^-1
2.547195625×10^0,9.289682007×10^-1,1.302351746×10^1,1.027912445×10^0
2.557145625×10^0,1.048868866×10^0,1.188678131×10^1,9.479786682×10^-1
2.567095625×10^0,1.221459961×10^0,1.077983322×10^1,7.379653931×10^-1
2.577045625×10^0,1.451381836×10^0,9.449399872×10^0,5.046006775×10^-1
2.586995625×10^0,1.706601105×10^0,8.114026794×10^0,5.294490051×10^-1
2.596945625×10^0,1.990261230×10^0,7.153474274×10^0,9.178912354×10^-1
2.606895625×10^0,2.170636139×10^0,6.918163605×10^0,1.478325806×10^0
2.616845625×10^0,2.879861298×10^0,7.517517242×10^0,1.697619781×10^0
2.626796625×10^0,3.571572876×10^0,8.380472717×10^0,1.738335114×10^0
2.636746625×10^0,3.773203583×10^0,9.253457336×10^0,1.677411804×10^0
2.646696625×10^0,3.778891754×10^0,9.760752411×10^0,1.645079041×10^0
2.656646750×10^0,3.869603119×10^0,9.944270782×10^0,1.748513947×10^0
2.666596750×10^0,4.225263519×10^0,1.017643799×10^1,1.815275116×10^0
2.676546750×10^0,4.763843536×10^0,1.059990738×10^1,1.939067688×10^0
2.686496750×10^0,5.061275024×10^0,1.123039627×10^1,2.019600220×10^0
2.696446750×10^0,5.275479584×10^0,1.190115143×10^1,2.208208008×10^0
2.706396750×10^0,5.064568176×10^0,1.298504745×10^1,1.601669312×10^0
2.716346750×10^0,4.300257568×10^0,1.323053696×10^1,2.269281006×10^-1
2.726296750×10^0,2.548600159×10^0,1.336570587×10^1,-2.764750671×10^-1
2.736246750×10^0,9.427395630×10^-1,1.269435196×10^1,-5.685177612×10^-1
2.746196750×10^0,-4.912783813×10^-1,1.218241653×10^1,-1.552870789×10^0
2.756147750×10^0,-1.297052765×10^0,1.147917892×10^1,-2.553839264×10^0
2.766097750×10^0,-2.052531738×10^0,9.341174927×10^0,-3.120860138×10^0
2.776047750×10^0,-1.994602203×10^0,7.296427002×10^0,-3.728147278×10^0
2.785997750×10^0,-2.326162720×10^0,5.553750916×10^0,-4.052971802×10^0
2.795947750×10^0,-2.505489807×10^0,4.502487030×10^0,-3.765270081×10^0
2.805897750×10^0,-2.395618286×10^0,3.917204132×10^0,-2.807561646×10^0
2.815847750×10^0,-2.485730896×10^0,3.902684326×10^0,-1.977537689×10^0
2.825797750×10^0,-2.246378632×10^0,4.012256470×10^0,-1.767973480×10^0
2.835747750×10^0,-1.631607056×10^0,3.827839966×10^0,-1.473535767×10^0
2.845697750×10^0,-1.071022797×10^0,3.774101715×10^0,-9.442364502×10^-1
2.855647750×10^0,-2.799179077×10^-1,3.840413818×10^0,-6.855743408×10^-1
2.865597750×10^0,5.071453857×10^-1,3.732637939×10^0,-6.891668701×10^-1
2.875547750×10^0,1.159189453×10^0,3.542383575×10^0,-9.452842712×10^-1
2.885497750×10^0,1.758992157×10^0,3.144510956×10^0,-1.946552124×10^0
2.895448750×10^0,1.990859985×10^0,2.819985809×10^0,-3.312461700×10^0
2.905398750×10^0,1.832489319×10^0,2.852468262×10^0,-5.029541016×10^0
2.915348750×10^0,1.664089508×10^0,3.238515472×10^0,-6.965165863×10^0
2.925298750×10^0,1.782792664×10^0,3.653003540×10^0,-8.382718048×10^0
2.935248750×10^0,1.575324097×10^0,4.215384064×10^0,-8.635991364×10^0
2.945198750×10^0,8.439450073×10^-1,5.374723206×10^0,-7.801626434×10^0
2.955148750×10^0,-1.866618347×10^-1,7.543563080×10^0,-6.267466736×10^0
2.965098750×10^0,-1.078507233×10^0,1.060439804×10^1,-4.728816376×10^0
