"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.133844917×10^0,1.116677856×10^0,4.697082367×10^0,6.124214630×10^0
1.143793917×10^0,6.596781921×10^-1,4.617747345×10^0,5.889353027×10^0
1.153743917×10^0,-1.853146362×10^-1,4.298161926×10^0,6.060147858×10^0
1.163693917×10^0,-1.082249451×10^0,4.565805359×10^0,6.612199860×10^0
1.173642917×10^0,-1.860032043×10^0,5.267546082×10^0,7.897127838×10^0
1.183592917×10^0,-1.742077332×10^0,6.027964783×10^0,7.168892212×10^0
1.193542917×10^0,-1.595831451×10^0,6.787784729×10^0,6.573131104×10^0
1.203492917×10^0,-1.480122070×10^0,7.485633545×10^0,5.679489441×10^0
1.213441917×10^0,-4.736151123×10^-1,7.436385956×10^0,5.175936584×10^0
1.223391917×10^0,1.585203552×10^0,6.253994751×10^0,6.375242615×10^0
1.233341917×10^0,1.992356873×10^0,5.482050018×10^0,6.797664185×10^0
1.243290917×10^0,1.609004059×10^0,5.269042969×10^0,6.685996399×10^0
1.253240917×10^0,1.021026764×10^0,5.216053162×10^0,7.170688477×10^0
1.263190917×10^0,2.751278687×10^-1,5.532495117×10^0,7.742649078×10^0
1.273139917×10^0,4.917274475×10^-1,5.297783203×10^0,7.964787140×10^0
1.283089917×10^0,1.027762756×10^0,5.111570435×10^0,7.981552277×10^0
1.293039917×10^0,7.981402588×10^-1,5.125491486×10^0,8.490194550×10^0
1.302989917×10^0,9.262738037×10^-1,4.884342957×10^0,8.997339935×10^0
1.312938917×10^0,1.095871124×10^0,4.697381744×10^0,9.010811920×10^0
1.322888917×10^0,4.029620361×10^-1,5.561684418×10^0,8.934021606×10^0
1.332838917×10^0,-7.379653931×10^-2,6.134094086×10^0,8.857979736×10^0
1.342787917×10^0,-5.664221191×10^-1,6.104006653×10^0,8.281977539×10^0
1.352737917×10^0,-8.958869934×10^-1,6.197412415×10^0,8.590336304×10^0
1.362687917×10^0,-7.843688965×10^-2,6.175557861×10^0,9.177116089×10^0
1.372637917×10^0,2.532733154×10^-1,5.771697693×10^0,9.876012726×10^0
1.382586917×10^0,8.023315430×10^-2,5.180427246×10^0,1.022658371×10^1
1.392536917×10^0,8.443940735×10^-1,4.863386536×10^0,9.942624207×10^0
1.402486917×10^0,1.803000641×10^0,4.685556335×10^0,9.911938019×10^0
1.412435917×10^0,2.254312134×10^0,3.752546539×10^0,1.013093262×10^1
1.422385917×10^0,1.919009399×10^0,3.086731110×10^0,1.024364822×10^1
1.432335917×10^0,2.201921082×10^0,3.213816833×10^0,1.080767532×10^1
1.442284917×10^0,2.225272522×10^0,3.814817047×10^0,1.159803177×10^1
1.452234917×10^0,1.203946381×10^0,3.766467590×10^0,1.195638657×10^1
1.462184917×10^0,1.255888367×10^0,4.117337952×10^0,1.232716553×10^1
1.472134917×10^0,1.593735809×10^0,4.431983643×10^0,1.315030380×10^1
1.482083917×10^0,1.136586456×10^0,4.268224182×10^0,1.351988525×10^1
1.492033917×10^0,1.798210602×10^0,4.422104187×10^0,1.322020844×10^1
1.501983917×10^0,2.368374939×10^0,3.766916656×10^0,1.309461960×10^1
1.511932917×10^0,3.271896057×10^0,3.153043213×10^0,1.267908371×10^1
1.521882917×10^0,4.971910858×10^0,2.884052582×10^0,1.268028122×10^1
1.531832917×10^0,5.119953003×10^0,2.122136993×10^0,1.251143234×10^1
1.541781917×10^0,6.052064667×10^0,1.922152863×10^0,1.161853912×10^1
1.551731917×10^0,5.793701935×10^0,1.578018494×10^0,1.057131683×10^1
1.561681917×10^0,5.357059937×10^0,1.293909302×10^0,9.636361084×10^0
1.571631917×10^0,5.060526581×10^0,1.697769470×10^0,8.890761566×10^0
1.581580917×10^0,3.923341370×10^0,2.386337585×10^0,8.617729340×10^0
1.591530917×10^0,2.692750397×10^0,2.972069550×10^0,8.339158630×10^0
1.601480917×10^0,2.108215942×10^0,3.325035553×10^0,7.971373444×10^0
1.611429917×10^0,2.226170654×10^0,3.411256256×10^0,7.583230591×10^0
1.621379917×10^0,2.395917664×10^0,3.281925201×10^0,7.240742798×10^0
1.631329917×10^0,2.225871277×10^0,3.323239288×10^0,7.187752991×10^0
1.641279917×10^0,2.003583527×10^0,3.284469910×10^0,7.400161285×10^0
1.651228917×10^0,1.742825775×10^0,3.265459442×10^0,7.735164642×10^0
1.661178917×10^0,1.415606232×10^0,3.144211578×10^0,8.230035553×10^0
1.671128917×10^0,1.425036621×10^0,3.028951263×10^0,8.422086182×10^0
1.681077917×10^0,1.514400787×10^0,2.665806427×10^0,8.113877106×10^0
1.691027917×10^0,1.624721375×10^0,2.261796570×10^0,7.611970825×10^0
1.700977917×10^0,1.678309937×10^0,1.940863953×10^0,7.223827972×10^0
1.710926917×10^0,1.589843903×10^0,1.686842194×10^0,6.984176331×10^0
1.720876917×10^0,1.289119263×10^0,1.644330597×10^0,6.822362823×10^0
1.730826917×10^0,1.213676147×10^0,1.775906982×10^0,6.638844452×10^0
1.740776917×10^0,1.326840820×10^0,1.580263824×10^0,5.871091003×10^0
1.750725917×10^0,1.402433624×10^0,1.581012268×10^0,5.476661224×10^0
1.760675917×10^0,1.260528717×10^0,1.726210327×10^0,5.523813171×10^0
1.770625917×10^0,1.086889801×10^0,2.017953644×10^0,5.506449280×10^0
1.780574917×10^0,7.280859375×10^-1,1.961071930×10^0,5.676795044×10^0
1.790524917×10^0,6.255491638×10^-1,2.089804230×10^0,5.949827271×10^0
1.800474917×10^0,5.795947266×10^-1,2.497256927×10^0,6.567143555×10^0
1.810423917×10^0,-8.666976929×10^-2,2.928659821×10^0,7.227570190×10^0
1.820373917×10^0,-3.073109436×10^-1,3.308869171×10^0,7.686815186×10^0
1.830323917×10^0,-5.987548828×10^-4,3.679049377×10^0,8.609646149×10^0
1.840273917×10^0,3.679348755×10^-1,4.178261261×10^0,8.924740906×10^0
1.850222917×10^0,4.939727783×10^-3,3.825444946×10^0,9.900561676×10^0
1.860172917×10^0,7.167095947×10^-1,4.265380096×10^0,9.723479919×10^0
1.870122917×10^0,4.906796265×10^-1,3.932472382×10^0,1.014425491×10^1
1.880071917×10^0,6.779402161×10^-1,4.124223633×10^0,1.117216736×10^1
1.890021917×10^0,9.060658264×10^-1,3.874093781×10^0,1.131137787×10^1
1.899971917×10^0,1.181044006×10^0,3.611539764×10^0,1.145193558×10^1
1.909920917×10^0,1.475182343×10^0,3.553460541×10^0,1.206371338×10^1
1.919870917×10^0,1.743424530×10^0,3.528612213×10^0,1.231474136×10^1
1.929820917×10^0,1.402134247×10^0,3.495081940×10^0,1.230321533×10^1
1.939770917×10^0,1.040785675×10^0,4.141437836×10^0,1.176089310×10^1
1.949719917×10^0,-1.648970947×10^0,6.076912994×10^0,1.160880936×10^1
1.959669917×10^0,-5.732479248×10^0,9.316625977×10^0,1.224004669×10^1
1.969619917×10^0,-9.178912354×10^0,9.897717590×10^0,1.217089050×10^1
1.979568917×10^0,-5.972579956×10^0,7.689659271×10^0,1.042132874×10^1
1.989518917×10^0,5.593867493×10^-1,6.007307739×10^0,8.714577942×10^0
1.999468917×10^0,2.853067017×10^-1,3.978875885×10^0,1.045201492×10^1
2.009418917×10^0,2.456391907×10^-1,2.475252686×10^0,1.209814178×10^1
2.019367917×10^0,4.343966675×10^-1,1.160087585×10^0,1.312904800×10^1
2.029317917×10^0,-1.836680603×10^-1,8.666976929×10^-2,1.359323273×10^1
2.039267917×10^0,-4.598437500×10^-1,-6.277944946×10^-1,1.325239151×10^1
2.049216917×10^0,-4.396357727×10^-1,-1.565145264×10^0,1.262459702×10^1
2.059166917×10^0,-6.243516541×10^-1,-2.225871277×10^0,1.336525681×10^1
2.069116917×10^0,3.003354492×10^0,-8.581654358×10^-1,1.417627029×10^1
2.079065917×10^0,4.332590332×10^0,1.606459351×10^0,1.284987854×10^1
2.089015917×10^0,2.722837830×10^0,2.384840698×10^0,1.032058823×10^1
2.098966125×10^0,1.221909027×10^0,1.711091766×10^0,7.759563904×10^0
2.108916125×10^0,1.695673828×10^0,1.094074860×10^0,7.677833862×10^0
2.118865125×10^0,2.134710846×10^0,1.698068848×10^0,9.054521027×10^0
2.128815125×10^0,2.111060028×10^0,1.099763031×10^0,1.017494110×10^1
2.138765125×10^0,1.969454498×10^0,4.192781067×10^-1,9.995614014×10^0
2.148714125×10^0,1.352886658×10^0,2.656974792×10^-1,9.815089417×10^0
2.158664125×10^0,1.150357819×10^0,4.269122314×10^-1,9.460626526×10^0
2.168614125×10^0,7.108717346×10^-1,2.966830444×10^-1,9.462572479×10^0
2.178564125×10^0,2.897973633×10^-1,-9.385482788×10^-2,9.913584595×10^0
