"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.142971667×10^0,-2.570305023×10^0,3.491190033×10^0,7.357649689×10^0
1.152921667×10^0,-2.720891876×10^0,3.673061829×10^0,7.052584076×10^0
1.162871667×10^0,-2.825823669×10^0,3.607348480×10^0,6.954837341×10^0
1.172821667×10^0,-4.117787018×10^0,3.922742615×10^0,6.985074463×10^0
1.182771667×10^0,-6.844965820×10^0,5.579946442×10^0,6.420897675×10^0
1.192721667×10^0,-6.719077606×10^0,6.189927979×10^0,5.313799896×10^0
1.202671667×10^0,-7.013665009×10^0,6.091881866×10^0,4.968917084×10^0
1.212621667×10^0,-6.905140686×10^0,5.976471863×10^0,4.332290955×10^0
1.222571667×10^0,-5.966592407×10^0,5.627547455×10^0,4.037254486×10^0
1.232521667×10^0,-5.884712677×10^0,5.483397217×10^0,4.414470062×10^0
1.242470667×10^0,-5.891748047×10^0,5.331163788×10^0,5.638474731×10^0
1.252420667×10^0,-6.068979492×10^0,4.890031128×10^0,7.115902405×10^0
1.262370667×10^0,-6.637197876×10^0,4.475243683×10^0,7.844287720×10^0
1.272320667×10^0,-7.002138977×10^0,4.322411499×10^0,7.679181061×10^0
1.282270667×10^0,-7.228318634×10^0,4.162394257×10^0,6.913523254×10^0
1.292220667×10^0,-7.162455597×10^0,4.054768066×10^0,5.079087982×10^0
1.302170667×10^0,-6.338868256×10^0,4.148024139×10^0,-2.844085693×10^-2
1.312120667×10^0,-6.223458252×10^0,4.383035431×10^0,-2.924618225×10^0
1.322070667×10^0,-7.105424194×10^0,4.522096252×10^0,-9.732760620×10^-1
1.332020667×10^0,-7.291337585×10^0,4.785698090×10^0,1.620829468×10^0
1.341970667×10^0,-6.871909790×10^0,5.312153320×10^0,2.905009003×10^0
1.351920667×10^0,-7.200925598×10^0,5.540877686×10^0,3.376678162×10^0
1.361870667×10^0,-7.589816895×10^0,5.535189514×10^0,3.456013184×10^0
1.371820667×10^0,-7.649542694×10^0,5.499264221×10^0,3.234473877×10^0
1.381770667×10^0,-7.351362762×10^0,5.514233093×10^0,2.954106903×10^0
1.391719667×10^0,-7.074139252×10^0,5.592520294×10^0,2.558030548×10^0
1.401669667×10^0,-7.066804504×10^0,5.506149902×10^0,2.677332458×10^0
1.411619667×10^0,-7.424859924×10^0,5.321583710×10^0,3.656596069×10^0
1.421569667×10^0,-7.770042114×10^0,5.373525696×10^0,4.297413483×10^0
1.431519667×10^0,-7.482639771×10^0,5.445525970×10^0,3.463946686×10^0
1.441469667×10^0,-6.915618896×10^0,5.348527679×10^0,3.204087067×10^0
1.451419667×10^0,-5.427563324×10^0,5.260959778×10^0,4.299060059×10^0
1.461369667×10^0,-4.562362518×10^0,5.198090515×10^0,5.474266205×10^0
1.471319667×10^0,-5.465733948×10^0,4.961133270×10^0,5.162314911×10^0
1.481269667×10^0,-6.271658020×10^0,4.827760620×10^0,3.744463348×10^0
1.491219667×10^0,-5.836512909×10^0,5.402265930×10^0,2.926713867×10^0
1.501169667×10^0,-5.018164673×10^0,6.900799713×10^0,3.419638824×10^0
1.511119667×10^0,-5.154082031×10^0,6.823111267×10^0,3.992946625×10^0
1.521069667×10^0,-4.656067657×10^0,5.980663147×10^0,3.448079681×10^0
1.531018667×10^0,-3.509002991×10^0,5.462291107×10^0,2.828967133×10^0
1.540968667×10^0,-3.430865479×10^0,5.904172211×10^0,3.304677887×10^0
1.550918667×10^0,-3.701802063×10^0,6.335874481×10^0,3.194357300×10^0
1.560868667×10^0,-3.636986847×10^0,6.453529816×10^0,2.839894409×10^0
1.570818667×10^0,-3.610941010×10^0,6.658753052×10^0,2.740950165×10^0
1.580768667×10^0,-3.785028992×10^0,6.918462982×10^0,3.024610291×10^0
1.590718667×10^0,-4.188140717×10^0,7.387138367×10^0,3.193309479×10^0
1.600668667×10^0,-5.234165497×10^0,8.121211853×10^0,3.132086792×10^0
1.610618667×10^0,-5.803880768×10^0,8.445737000×10^0,2.791245575×10^0
1.620568667×10^0,-5.893394623×10^0,8.311316528×10^0,2.759810944×10^0
1.630518667×10^0,-6.066584473×10^0,7.511380005×10^0,2.281256104×10^0
1.640468667×10^0,-6.506220245×10^0,6.824608154×10^0,1.564845886×10^0
1.650418667×10^0,-6.397546234×10^0,6.627468109×10^0,9.782157898×10^-1
1.660368667×10^0,-5.998027039×10^0,6.660549316×10^0,9.436376953×10^-1
1.670317667×10^0,-6.108497314×10^0,6.820267181×10^0,5.941145325×10^-1
1.680267667×10^0,-5.599705353×10^0,6.954088898×10^0,-8.098159790×10^-2
1.690217667×10^0,-4.643493805×10^0,7.499404907×10^0,1.692979431×10^-1
1.700167667×10^0,-4.287084961×10^0,8.445287933×10^0,6.279441833×10^-1
1.710117667×10^0,-4.078867950×10^0,9.565708008×10^0,4.975653076×10^-1
1.720067667×10^0,-4.107009430×10^0,1.020113663×10^1,5.698649597×10^-1
1.730017667×10^0,-4.298610992×10^0,1.030097900×10^1,7.065307617×10^-1
1.739967667×10^0,-4.448299713×10^0,1.015922379×10^1,6.174659729×10^-1
1.749917667×10^0,-4.124523010×10^0,9.817035370×10^0,2.314187622×10^-1
1.759867667×10^0,-3.658542023×10^0,9.441166992×10^0,-1.052311707×10^-1
1.769817667×10^0,-3.751349030×10^0,9.436526642×10^0,1.332229614×10^-2
1.779767667×10^0,-3.851041718×10^0,9.613309021×10^0,2.324665833×10^-1
1.789717667×10^0,-3.835474091×10^0,9.630223846×10^0,-5.179229736×10^-2
1.799667667×10^0,-4.021986237×10^0,9.166039124×10^0,-1.595681763×10^-1
1.809617667×10^0,-4.440515900×10^0,8.621920624×10^0,-9.624984741×10^-2
1.819566667×10^0,-5.082680511×10^0,8.180937653×10^0,-5.709127808×10^-1
1.829516667×10^0,-5.930816803×10^0,7.678731995×10^0,-1.301693115×10^0
1.839466667×10^0,-6.395151215×10^0,7.265291748×10^0,-2.013462982×10^0
1.849416667×10^0,-6.353088684×10^0,6.704408112×10^0,-2.432741089×10^0
1.859366667×10^0,-6.475384369×10^0,6.213129730×10^0,-2.401905212×10^0
1.869316667×10^0,-6.267167358×10^0,6.034401398×10^0,-2.636467438×10^0
1.879266667×10^0,-6.019282837×10^0,5.963299255×10^0,-3.113226013×10^0
1.889216667×10^0,-5.991590424×10^0,5.838309174×10^0,-3.366050262×10^0
1.899166667×10^0,-5.522166595×10^0,5.828280029×10^0,-3.637435913×10^0
1.909116667×10^0,-6.012696533×10^0,5.864205322×10^0,-3.554807739×10^0
1.919066667×10^0,-6.650819550×10^0,6.029461670×10^0,-3.764671326×10^0
1.929016667×10^0,-7.238946533×10^0,6.313271484×10^0,-4.213138733×10^0
1.938966667×10^0,-7.578739929×10^0,6.801705780×10^0,-4.119134216×10^0
1.948916667×10^0,-7.358547821×10^0,7.053631897×10^0,-3.723806305×10^0
1.958865667×10^0,-7.244335327×10^0,6.662644958×10^0,-3.452270966×10^0
1.968815667×10^0,-6.461762695×10^0,6.206992493×10^0,-3.755240936×10^0
1.978765667×10^0,-5.997278595×10^0,6.040688324×10^0,-3.368445282×10^0
1.988715667×10^0,-6.023623810×10^0,5.915548553×10^0,-3.285966797×10^0
1.998665667×10^0,-6.174060974×10^0,5.824837189×10^0,-3.270249481×10^0
2.008615667×10^0,-6.794221344×10^0,8.496481476×10^0,-3.348536682×10^0
2.018565667×10^0,-6.407126312×10^0,9.776320038×10^0,-4.246519318×10^0
2.028515667×10^0,-6.673871613×10^0,9.125922546×10^0,-5.132077789×10^0
2.038465667×10^0,-6.714137878×10^0,8.869056702×10^0,-5.140160980×10^0
2.048415667×10^0,-6.841223602×10^0,8.723409576×10^0,-5.497767334×10^0
2.058365667×10^0,-6.494394836×10^0,8.691525879×10^0,-5.584736481×10^0
2.068315667×10^0,-6.170318756×10^0,8.618178406×10^0,-5.723946991×10^0
2.078265667×10^0,-5.908513184×10^0,8.683143311×10^0,-5.798192596×10^0
2.088215667×10^0,-5.391039276×10^0,9.086704102×10^0,-5.356910248×10^0
2.098164667×10^0,-5.390141144×10^0,9.323212280×10^0,-4.352947998×10^0
2.108114667×10^0,-5.659880219×10^0,9.387129364×10^0,-2.469714203×10^0
2.118065000×10^0,-5.168302460×10^0,9.067094879×10^0,-1.162781982×10^0
2.128015000×10^0,-4.848417664×10^0,8.330177307×10^0,-5.653742981×10^-1
2.137965000×10^0,-4.404141541×10^0,8.130642242×10^0,-9.054670715×10^-1
2.147915000×10^0,-4.542154541×10^0,8.732091522×10^0,-9.494755554×10^-1
2.157865000×10^0,-4.959786072×10^0,9.564360809×10^0,-6.664141846×10^-1
2.167815000×10^0,-5.093458099×10^0,9.771679688×10^0,-8.863069153×10^-1
2.177765000×10^0,-5.335953827×10^0,9.721084900×10^0,-9.868977356×10^-1
2.187715000×10^0,-5.553601227×10^0,9.850715332×10^0,-1.198557587×10^0
2.197665000×10^0,-5.561085663×10^0,9.863289185×10^0,-1.923649750×10^0
2.207615000×10^0,-5.556744690×10^0,9.705367584×10^0,-2.581381989×10^0
2.217565000×10^0,-5.534740448×10^0,9.341773682×10^0,-3.018173676×10^0
2.227515000×10^0,-5.177882538×10^0,8.630303192×10^0,-3.596121826×10^0
2.237464000×10^0,-5.139562225×10^0,8.167016602×10^0,-3.462300110×10^0
2.247414000×10^0,-4.921016693×10^0,6.499633942×10^0,-3.150348816×10^0
2.257364000×10^0,-5.367837524×10^0,3.617826691×10^0,-1.518891449×10^0
2.267314000×10^0,-6.541397095×10^0,4.126618652×10^0,-2.107467499×10^0
2.277264000×10^0,-6.979985046×10^0,4.998106384×10^0,-2.672542419×10^0
2.287214000×10^0,-6.645430756×10^0,5.164859619×10^0,-2.243085480×10^0
2.297164000×10^0,-5.761818237×10^0,5.410798187×10^0,-2.762205963×10^0
2.307114000×10^0,-5.568570099×10^0,5.244044952×10^0,-3.374432831×10^0
2.317064000×10^0,-5.842350769×10^0,4.288881226×10^0,-3.697161713×10^0
2.327014000×10^0,-6.107150116×10^0,3.720662842×10^0,-3.190016327×10^0
2.336964000×10^0,-6.830595703×10^0,3.397784271×10^0,-3.241359558×10^0
2.346914000×10^0,-7.454498291×10^0,3.016377411×10^0,-3.517235870×10^0
2.356864000×10^0,-7.576344910×10^0,2.385140076×10^0,-3.561394043×10^0
2.366814000×10^0,-7.411687317×10^0,2.097288666×10^0,-3.169209595×10^0
2.376763000×10^0,-7.255711670×10^0,2.460882568×10^0,-2.456541595×10^0
