"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.350717667×10^0,2.797660884×10^-3,-2.060952902×10^0,-2.248563468×10^-1
1.360666667×10^0,-4.214639664×10^-1,-1.997321486×10^0,-6.308124065×10^-1
1.370614667×10^0,-6.401318312×10^-1,-1.363193512×10^0,-9.987235665×10^-1
1.380563667×10^0,-6.522597671×10^-1,-4.647176564×10^-1,-1.281681180×10^0
1.390511667×10^0,-5.545273423×10^-1,4.338017404×10^-1,-1.418870687×10^0
1.400460667×10^0,-4.443282187×10^-1,1.255269170×10^0,-1.341960192×10^0
1.410408667×10^0,-3.909230530×10^-1,2.000045776×10^0,-1.117801070×10^0
1.420356667×10^0,-3.868955672×10^-1,2.248419046×10^0,-9.563019872×10^-1
1.430305667×10^0,-4.350321889×10^-1,1.959922791×10^0,-7.630521059×10^-1
1.440253667×10^0,-4.666946828×10^-1,1.590195060×10^0,-5.814995766×10^-1
1.450202667×10^0,-4.647146463×10^-1,1.468077660×10^0,-5.200505853×10^-1
1.460150667×10^0,-4.181301296×10^-1,1.514726281×10^0,-5.298609734×10^-1
1.470099667×10^0,-3.363654912×10^-1,1.595292449×10^0,-5.407876968×10^-1
1.480047667×10^0,-3.562929332×10^-1,1.639388561×10^0,-6.740887761×10^-1
1.489996667×10^0,-5.007686615×10^-1,1.505759120×10^0,-7.271618247×10^-1
1.499944667×10^0,-5.691834092×10^-1,1.167557120×10^0,-6.320344806×10^-1
1.509892667×10^0,-4.895623326×10^-1,7.116318941×10^-1,-4.858541489×10^-1
1.519841667×10^0,-2.951292694×10^-1,1.948120296×10^-1,-4.458419383×10^-1
1.529789667×10^0,6.242513657×10^-2,-1.175173745×10^-1,-5.793076158×10^-1
1.539738667×10^0,5.144216418×10^-1,-2.509713359×10^-2,-7.390634418×10^-1
1.549686667×10^0,9.691087604×10^-1,3.719730079×10^-1,-8.177561164×10^-1
1.559635667×10^0,1.366566777×10^0,9.477293491×10^-1,-7.846678495×10^-1
1.569583667×10^0,1.652594566×10^0,1.519797564×10^0,-6.428220272×10^-1
1.579531667×10^0,1.812730670×10^0,2.140609026×10^0,-4.170577228×10^-1
1.589480667×10^0,1.829102516×10^0,2.334774256×10^0,-1.775590926×10^-1
1.599428667×10^0,1.806694150×10^0,2.039588928×10^0,2.217279524×10^-1
1.609377667×10^0,1.800298810×10^0,1.431201816×10^0,5.397187471×10^-1
1.619325667×10^0,1.766095638×10^0,5.464529395×10^-1,5.553550720×10^-1
1.629274667×10^0,1.701373577×10^0,-5.063700080×10^-1,3.722515702×10^-1
1.639222667×10^0,1.639459491×10^0,-1.373603582×10^0,5.401378125×10^-2
1.649171667×10^0,1.728905916×10^0,-1.863003135×10^0,-3.024423420×10^-1
1.659119667×10^0,1.884269714×10^0,-1.712924123×10^0,-6.016923189×10^-1
1.669067667×10^0,2.038829327×10^0,-1.325883627×10^0,-7.498700619×10^-1
1.679016667×10^0,1.999665260×10^0,-8.800457716×10^-1,-7.128976583×10^-1
1.688964667×10^0,1.799520731×10^0,-6.060637236×10^-1,-4.740307927×10^-1
1.698913667×10^0,1.548306227×10^0,-3.006907403×10^-1,-1.585549861×10^-1
1.708861667×10^0,1.395202875×10^0,1.351502091×10^-1,1.476400942×10^-1
1.718810667×10^0,1.359298587×10^0,5.299372673×10^-1,3.413131535×10^-1
1.728758667×10^0,1.176942110×10^0,9.439243078×10^-1,5.528892875×10^-1
1.738707667×10^0,6.979533434×10^-1,1.623048425×10^0,8.276596069×10^-1
1.748655667×10^0,9.636865556×10^-2,2.523848534×10^0,7.675310373×10^-1
1.758603667×10^0,-4.204597771×10^-1,3.076475143×10^0,4.744201899×10^-1
1.768552667×10^0,-6.686528325×10^-1,3.221556664×10^0,6.652165204×10^-2
1.778500667×10^0,-5.577826500×10^-1,3.192126513×10^0,-2.226172835×10^-1
1.788449667×10^0,-2.642062008×10^-1,3.027106762×10^0,-2.724277079×10^-1
1.798397667×10^0,1.313316375×10^-1,2.655249834×10^0,-1.813827306×10^-1
1.808346667×10^0,5.959866643×10^-1,2.207245111×10^0,-1.788035035×10^-2
1.818294667×10^0,8.952431083×10^-1,1.716377378×10^0,1.053845957×10^-1
1.828242667×10^0,1.104826212×10^0,1.283492565×10^0,1.303043216×10^-1
1.838191667×10^0,1.226627946×10^0,8.295181394×10^-1,-8.455856144×10^-2
1.848139667×10^0,1.328851461×10^0,4.309332371×10^-1,-5.435631275×10^-1
1.858088667×10^0,1.343049049×10^0,-1.555895656×10^-1,-1.182343125×10^0
1.868036667×10^0,1.551290870×10^0,-4.401600361×10^-1,-1.460428238×10^0
1.877985667×10^0,1.369370937×10^0,-3.486083746×10^-1,-1.214627385×10^0
1.887933667×10^0,8.162558079×10^-1,7.522257566×10^-1,-9.669768810×10^-1
1.897882667×10^0,4.222230315×10^-1,2.734963894×10^0,-1.108845353×10^0
1.907830667×10^0,5.575861931×10^-1,4.597230911×10^0,-1.618914485×10^0
1.917778667×10^0,5.762347579×10^-1,2.879141092×10^0,-1.680382013×10^0
1.927727667×10^0,1.308002949×10^0,-3.441254795×10^-1,-8.098148108×10^-1
1.937675667×10^0,1.984795213×10^0,-1.391011119×10^0,-1.340747476×10^-1
1.947624667×10^0,2.347863674×10^0,-2.284478247×10^-1,-2.103980444×10^-2
1.957572667×10^0,2.805873156×10^0,1.017681360×10^0,-2.927949727×10^-1
1.967521667×10^0,3.500160217×10^0,2.594694614×10^0,-1.023072839×10^0
1.977469667×10^0,4.211286545×10^0,3.866875410×10^0,-1.952822566×10^0
1.987418667×10^0,5.076765060×10^0,4.238604069×10^0,-2.893466711×10^0
1.997366667×10^0,5.764478207×10^0,4.174434662×10^0,-3.656512260×10^0
2.007314667×10^0,5.925956249×10^0,3.906751394×10^0,-4.155015945×10^0
2.017263667×10^0,5.512728691×10^0,3.186462641×10^0,-4.310907841×10^0
2.027211667×10^0,4.685675144×10^0,1.943613172×10^0,-4.268858910×10^0
