"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.757924292×10^0,6.227759123×10^-1,2.782242596×10^-1,1.215426803×10^0
1.767874292×10^0,4.165228009×10^-1,5.215882063×10^-1,1.176719189×10^0
1.777824292×10^0,1.972498298×10^-1,6.376372576×10^-1,1.141485810×10^0
1.787774292×10^0,1.260171644×10^-2,5.023376942×10^-1,1.086934209×10^0
1.797723292×10^0,-1.620393246×10^-1,2.818337977×10^-1,9.806435108×10^-1
1.807673292×10^0,-2.565863132×10^-1,1.404893994×10^-1,8.344702125×10^-1
1.817623292×10^0,-2.319925278×10^-1,6.748869270×10^-2,6.647270322×10^-1
1.827573292×10^0,-1.343823224×10^-1,6.752403080×10^-2,5.136960149×10^-1
1.837522292×10^0,-1.362795103×10^-2,3.871155903×10^-2,4.084768891×10^-1
1.847472292×10^0,1.096135154×10^-1,-9.787356108×10^-2,3.260731399×10^-1
1.857422292×10^0,1.930711269×10^-1,-2.674372792×10^-1,2.467668653×10^-1
1.867371292×10^0,2.265790254×10^-1,-3.638167977×10^-1,1.779574007×10^-1
1.877321292×10^0,2.220580429×10^-1,-3.241429031×10^-1,1.355260611×10^-1
1.887271292×10^0,2.212325186×10^-1,-2.004412711×10^-1,1.341886073×10^-1
1.897221292×10^0,2.536413372×10^-1,-9.737081826×10^-2,1.609443128×10^-1
1.907171292×10^0,2.992652357×10^-1,-7.153435051×10^-2,2.229917198×10^-1
1.917120292×10^0,3.440723717×10^-1,-1.382675767×10^-1,2.865888178×10^-1
1.927070292×10^0,3.948889673×10^-1,-2.789276540×10^-1,3.063142896×10^-1
1.937020292×10^0,4.119260013×10^-1,-3.117705584×10^-1,2.524425387×10^-1
1.946970292×10^0,3.805181980×10^-1,-2.742761374×10^-1,1.892015040×10^-1
1.956919292×10^0,3.216301203×10^-1,-2.133384496×10^-1,1.266489178×10^-1
1.966869292×10^0,2.183344513×10^-1,-8.358984441×10^-2,9.691179544×10^-2
1.976819292×10^0,4.645458236×10^-2,1.430928409×10^-1,1.373529583×10^-1
1.986768292×10^0,-1.666397750×10^-1,3.339352608×10^-1,2.302552611×10^-1
1.996718292×10^0,-3.346058726×10^-1,3.857273459×10^-1,3.196391761×10^-1
2.006668292×10^0,-4.254274666×10^-1,3.483572006×10^-1,3.955968022×10^-1
2.016618292×10^0,-4.414184093×10^-1,2.740265131×10^-1,4.886532426×10^-1
2.026567292×10^0,-3.561862409×10^-1,1.750396192×10^-1,5.876474380×10^-1
2.036517292×10^0,-2.389317900×10^-1,1.214869022×10^-1,6.830653548×10^-1
2.046467292×10^0,-1.117670536×10^-1,2.142285109×10^-1,7.445175052×10^-1
2.056417292×10^0,-2.519925591×10^-3,3.986769021×10^-1,7.594493032×10^-1
2.066366292×10^0,1.791377738×10^-2,5.614655018×10^-1,7.547570467×10^-1
2.076316292×10^0,-4.897204787×10^-2,6.975929737×10^-1,7.644115090×10^-1
2.086266292×10^0,-1.461728215×10^-1,7.408526540×10^-1,7.649961710×10^-1
2.096216292×10^0,-1.782825589×10^-1,6.372229457×10^-1,7.223852873×10^-1
2.106165292×10^0,-1.457384974×10^-1,4.304728508×10^-1,5.749253035×10^-1
2.116115292×10^0,-4.612988979×10^-2,1.708682030×10^-1,3.425495923×10^-1
