"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.910465792×10^0,-1.475064158×10^0,4.291484952×10^-1,-1.594490051×10^0
1.920415792×10^0,-1.243569970×10^0,5.747003555×10^-1,-9.097316861×10^-1
1.930365792×10^0,-3.971503079×10^-1,3.364400268×10^-1,-3.131672740×10^-2
1.940315792×10^0,9.556820393×10^-1,-5.736073852×10^-1,5.099244118×10^-1
1.950265792×10^0,1.696168780×10^0,-7.862350345×10^-1,4.719964266×10^-1
1.960215792×10^0,1.795654416×10^0,-3.366777301×10^-1,2.330536395×10^-1
1.970165792×10^0,1.684205532×10^0,-4.077057540×10^-2,-4.199421406×10^-2
1.980115792×10^0,1.562076211×10^0,2.149412781×10^-2,-1.093825698×10^-1
1.990065792×10^0,1.563312054×10^0,-2.117288858×10^-1,-3.570812941×10^-2
2.000015792×10^0,1.754023194×10^0,-9.240158200×10^-1,-2.183173038×10^-2
2.009965792×10^0,2.104934454×10^0,-1.800721645×10^0,-1.010713950×10^-1
2.019915792×10^0,2.502143383×10^0,-2.415415287×10^0,-1.149501950×10^-1
2.029865792×10^0,2.850111008×10^0,-2.686877251×10^0,-9.023611993×10^-2
2.039814792×10^0,2.982594013×10^0,-2.530202150×10^0,-1.596428901×10^-1
2.049764792×10^0,2.934720993×10^0,-1.882292032×10^0,-3.150053024×10^-1
2.059714792×10^0,2.728203773×10^0,-8.708164692×10^-1,-5.318230391×10^-1
2.069664792×10^0,2.302763939×10^0,4.578994215×10^-1,-7.712455392×10^-1
2.079614792×10^0,1.718892694×10^0,1.664260864×10^0,-9.243655801×10^-1
2.089564792×10^0,1.224620819×10^0,2.046698332×10^0,-9.397742748×10^-1
2.099514792×10^0,9.582360387×10^-1,1.741099358×10^0,-9.097364545×10^-1
2.109464792×10^0,7.998358607×10^-1,1.350440502×10^0,-8.571977019×10^-1
2.119414792×10^0,6.720781922×10^-1,1.015608191×10^0,-7.717661262×10^-1
2.129364792×10^0,5.765761733×10^-1,7.566156983×10^-1,-7.281280756×10^-1
2.139314792×10^0,4.641555846×10^-1,6.775227189×10^-1,-7.616884112×10^-1
2.149264792×10^0,3.573588729×10^-1,5.812360644×10^-1,-7.254930139×10^-1
2.159214792×10^0,2.613937259×10^-1,3.440773189×10^-1,-5.984375477×10^-1
2.169164792×10^0,1.885040700×10^-1,2.492932230×10^-1,-3.849512339×10^-1
2.179114792×10^0,1.709277332×10^-1,4.507389963×10^-1,-1.574144810×10^-1
2.189064792×10^0,1.377160549×10^-1,6.820509434×10^-1,5.288550258×10^-2
2.199014792×10^0,-7.557779551×10^-3,7.463327646×10^-1,2.653338313×10^-1
2.208964792×10^0,-2.326719761×10^-1,6.266128421×10^-1,4.227787554×10^-1
2.218913792×10^0,-5.044784546×10^-1,5.473784804×10^-1,4.897135794×10^-1
