"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.143070208×10^0,1.064608991×10^-1,3.877198696×10^-1,9.992933273×10^-2
1.153020208×10^0,9.348651022×10^-2,3.908983469×10^-1,1.017698422×10^-1
1.162970208×10^0,8.032543212×10^-2,4.383431077×10^-1,1.142115965×10^-1
1.172920208×10^0,7.456739247×10^-2,5.171272755×10^-1,1.235366315×10^-1
1.182870208×10^0,8.984781057×10^-2,5.939592123×10^-1,1.277081966×10^-1
1.192820208×10^0,1.423184872×10^-1,6.674665809×10^-1,1.052516103×10^-1
1.202770208×10^0,2.300762981×10^-1,8.026489019×10^-1,8.355350047×10^-2
1.212720208×10^0,3.350533247×10^-1,9.707089663×10^-1,8.546383679×10^-2
1.222670208×10^0,4.515570402×10^-1,1.121873140×10^0,8.511629701×10^-2
1.232620833×10^0,5.576663017×10^-1,1.272820115×10^0,7.672619075×10^-2
1.242570833×10^0,6.493394971×10^-1,1.415335417×10^0,1.124453098×10^-1
1.252520833×10^0,7.304430604×10^-1,1.475966096×10^0,9.537969530×10^-2
1.262470833×10^0,8.207564354×10^-1,1.537202001×10^0,8.729140460×10^-2
1.272420833×10^0,9.319592118×10^-1,1.702149153×10^0,8.289745450×10^-2
1.282370833×10^0,1.031391263×10^0,2.000406742×10^0,4.540014639×10^-2
1.292320833×10^0,1.084207892×10^0,2.299618721×10^0,-2.478668839×10^-2
1.302270833×10^0,1.100882411×10^0,2.578024626×10^0,-1.003493592×10^-1
1.312220833×10^0,1.099656463×10^0,2.878156185×10^0,-1.705656797×10^-1
1.322170833×10^0,1.076710105×10^0,3.046898365×10^0,-2.548941374×10^-1
1.332120833×10^0,1.027876616×10^0,3.042622566×10^0,-3.741231263×10^-1
1.342070833×10^0,9.839773774×10^-1,3.048824072×10^0,-5.151420832×10^-1
1.352020833×10^0,9.579545856×10^-1,3.242069006×10^0,-6.177543402×10^-1
1.361970833×10^0,9.466511011×10^-1,3.439771652×10^0,-6.724626422×10^-1
1.371920833×10^0,9.155004025×10^-1,3.495063543×10^0,-7.016153932×10^-1
1.381870833×10^0,8.513935804×10^-1,3.428022146×10^0,-6.761033535×10^-1
1.391820833×10^0,7.439811230×10^-1,3.246050358×10^0,-5.502593517×10^-1
1.401770833×10^0,5.938033462×10^-1,2.935089827×10^0,-3.064951301×10^-1
1.411720833×10^0,4.358526170×10^-1,2.678434849×10^0,2.783466130×10^-2
1.421670833×10^0,1.950498372×10^-1,2.785030365×10^0,1.894893348×10^-1
1.431620833×10^0,-7.387579978×10^-2,2.616863728×10^0,1.586629599×10^-1
1.441570833×10^0,-1.559970379×10^-1,2.012475491×10^0,5.165987015×10^-1
1.451520833×10^0,-1.253115684×10^-1,1.869003415×10^0,1.056053162×10^0
1.461469833×10^0,-4.621274769×10^-2,2.014494658×10^0,1.304164886×10^0
1.471419833×10^0,5.040043220×10^-2,1.873714566×10^0,1.184360743×10^0
1.481369833×10^0,1.359747201×10^-1,1.590551257×10^0,9.593244195×10^-1
1.491319833×10^0,2.351986617×10^-1,1.766608953×10^0,8.091796041×10^-1
1.501269833×10^0,3.631030917×10^-1,2.090387583×10^0,7.023338675×10^-1
1.511219833×10^0,5.085680485×10^-1,2.098416805×10^0,5.851759315×10^-1
1.521169833×10^0,6.524335742×10^-1,2.065694571×10^0,4.851337671×10^-1
1.531119833×10^0,7.672595382×10^-1,2.066065788×10^0,4.327363372×10^-1
1.541069833×10^0,8.425103426×10^-1,2.013364553×10^0,4.076421857×10^-1
1.551019833×10^0,8.917970657×10^-1,1.865868092×10^0,4.232524633×10^-1
1.560969833×10^0,9.654004574×10^-1,1.589377999×10^0,4.728024304×10^-1
1.570919833×10^0,1.071756005×10^0,1.262659192×10^0,5.396218896×10^-1
1.580869833×10^0,1.220222712×10^0,1.061155081×10^0,6.001752615×10^-1
1.590819833×10^0,1.433855057×10^0,9.718327522×10^-1,5.897191167×10^-1
1.600769833×10^0,1.707120419×10^0,9.998851418×10^-1,5.144917369×10^-1
1.610719833×10^0,2.006547451×10^0,1.074697971×10^0,3.842893541×10^-1
1.620669833×10^0,2.260877371×10^0,1.007519722×10^0,1.784083396×10^-1
1.630619833×10^0,2.516488791×10^0,9.983694553×10^-1,-4.595455900×10^-2
1.640569833×10^0,2.760550261×10^0,8.775985837×10^-1,-2.653553784×10^-1
1.650519833×10^0,2.998733282×10^0,6.938818097×10^-1,-4.346717298×10^-1
1.660469833×10^0,3.230342627×10^0,5.246093869×10^-1,-5.369663835×10^-1
1.670419833×10^0,3.466514587×10^0,4.344280660×10^-1,-5.485132933×10^-1
1.680369833×10^0,3.702944756×10^0,2.677072585×10^-1,-5.205804706×10^-1
1.690319833×10^0,3.914712191×10^0,1.295509338×10^-1,-5.037900805×10^-1
1.700269833×10^0,4.088370800×10^0,1.899120063×10^-1,-5.080304146×10^-1
1.710219833×10^0,4.225780010×10^0,3.670136034×10^-1,-5.323919058×10^-1
1.720169833×10^0,4.328980923×10^0,3.843992651×10^-1,-5.889542103×10^-1
1.730119833×10^0,4.412499905×10^0,3.037070036×10^-1,-6.701194048×10^-1
1.740069833×10^0,4.472176552×10^0,1.220525056×10^-1,-7.820312977×10^-1
1.750019833×10^0,4.501175880×10^0,1.485657413×10^-2,-8.920869827×10^-1
1.759969833×10^0,4.503128052×10^0,4.080641642×10^-2,-9.496469498×10^-1
1.769919833×10^0,4.460864544×10^0,3.260304406×10^-2,-9.609223604×10^-1
1.779869833×10^0,4.364482403×10^0,-8.832550794×10^-2,-9.389235973×10^-1
1.789819833×10^0,4.041043758×10^0,-6.816530228×10^-2,-8.536502719×10^-1
1.799769833×10^0,3.300987482×10^0,8.562372625×10^-2,-7.297208905×10^-1
1.809719833×10^0,2.529355288×10^0,-1.063699201×10^-1,-7.253431082×10^-1
1.819669833×10^0,2.049121857×10^0,-4.073753059×10^-1,-8.625337481×10^-1
1.829619833×10^0,1.889507890×10^0,-6.498587132×10^-1,-9.501048923×10^-1
1.839568833×10^0,2.021917582×10^0,-8.909930587×10^-1,-8.500738740×10^-1
1.849518833×10^0,2.443323374×10^0,-9.146409035×10^-1,-6.020084620×10^-1
1.859468833×10^0,2.970522404×10^0,-6.174992323×10^-1,-3.073033392×10^-1
1.869418833×10^0,3.324769735×10^0,-4.354065657×10^-1,-7.243631780×10^-2
1.879368833×10^0,3.414737701×10^0,-4.448575675×10^-1,2.514456771×10^-2
1.889318833×10^0,3.364483118×10^0,-2.620459497×10^-1,1.314016990×10^-3
1.899268833×10^0,3.283923864×10^0,-1.393871605×10^-1,-3.215872124×10^-2
1.909218833×10^0,3.209443808×10^0,-1.462892741×10^-1,-3.956582025×10^-2
1.919168833×10^0,3.162040949×10^0,-1.081312299×10^-1,-1.188784912×10^-1
1.929118833×10^0,3.121506691×10^0,-8.430988342×10^-2,-3.245731592×10^-1
1.939068833×10^0,3.056726933×10^0,-6.679454446×10^-2,-6.268302202×10^-1
1.949018833×10^0,2.968895912×10^0,-2.023688406×10^-1,-9.566599727×10^-1
1.958968833×10^0,2.861245394×10^0,-3.826579452×10^-1,-1.261389852×10^0
1.968918833×10^0,2.818575144×10^0,-4.825792313×10^-1,-1.495326281×10^0
1.978868833×10^0,2.875691175×10^0,-6.583899260×10^-1,-1.699031234×10^0
1.988818833×10^0,2.969632864×10^0,-8.435794711×10^-1,-1.921682119×10^0
1.998768833×10^0,3.066940069×10^0,-9.890376329×10^-1,-2.170133352×10^0
2.008718833×10^0,3.120558977×10^0,-1.104864240×10^0,-2.423642635×10^0
2.018668833×10^0,3.084845304×10^0,-1.236967206×10^0,-2.627285719×10^0
2.028618833×10^0,2.969597578×10^0,-1.361248136×10^0,-2.731774092×10^0
2.038568833×10^0,2.845511436×10^0,-1.272821546×10^0,-2.723912239×10^0
2.048518833×10^0,2.745409489×10^0,-9.274923205×10^-1,-2.532958508×10^0
2.058468833×10^0,2.628129244×10^0,-6.557827592×10^-1,-2.168644667×10^0
2.068418833×10^0,2.457382679×10^0,-5.017873645×10^-1,-1.727668405×10^0
2.078368833×10^0,2.193227530×10^0,-3.027102053×10^-1,-1.290004492×10^0
2.088318833×10^0,1.867009878×10^0,-1.815425307×10^-1,-8.711740971×10^-1
2.098268833×10^0,1.514878154×10^0,-2.760437131×10^-2,-4.474790096×10^-1
2.108218833×10^0,1.177895308×10^0,1.098891497×10^-1,-4.783634841×10^-2
2.118168833×10^0,8.405875564×10^-1,2.133622766×10^-1,2.437659502×10^-1
2.128118833×10^0,5.517374277×10^-1,2.804826796×10^-1,4.322311282×10^-1
2.138068833×10^0,4.171309471×10^-1,3.006034195×10^-1,5.451363325×10^-1
2.148018833×10^0,3.993724585×10^-1,2.578394413×10^-1,5.389158130×10^-1
2.157968833×10^0,4.791855216×10^-1,9.637623280×10^-2,4.168125093×10^-1
2.167918833×10^0,6.922368407×10^-1,-2.239140570×10^-1,2.373864502×10^-1
2.177868833×10^0,9.450879693×10^-1,-3.235892355×10^-1,2.829474024×10^-2
2.187818833×10^0,1.197260499×10^0,-6.291700900×10^-2,-1.992399693×10^-1
2.197768833×10^0,1.422211885×10^0,2.081200778×10^-1,-4.267306626×10^-1
2.207717833×10^0,1.547467828×10^0,2.545362115×10^-1,-5.652053356×10^-1
2.217667833×10^0,1.560457110×10^0,2.630809844×10^-1,-5.473488569×10^-1
2.227617833×10^0,1.473266363×10^0,3.308459818×10^-1,-4.669098556×10^-1
2.237567833×10^0,1.315179825×10^0,2.833570540×10^-1,-3.855244517×10^-1
2.247517833×10^0,1.189212322×10^0,1.018564850×10^-1,-3.120366037×10^-1
2.257467833×10^0,8.983281851×10^-1,1.070682928×10^-1,-3.243124485×10^-1
